0,1
2021-07-22,Amb. Omamo further thanked Zambia for its support during Kenya candidature for membership to the UN security council and wished her well during  her tour of duty.
2021-07-19,"The A3 refers to the bloc of the three (3) African members of the UN Security Council, where Niger, Kenya and Tunisia are its current members, with the plus 1 incorporating the additional member of the Caribbean region, presently Saint Vincent and the Grenadines."
2021-07-19,"Kenya's Permanent Representative to the United Nations in New York is leading a delegation comprising of his PR colleagues from Niger, Tunisia and St Vincent and The  Grenadines (Caucus of the African members to the UNSC) for a five days retreat to be held in Kenya."
2021-07-17,"CS @ForeignOfficeKE Amb Raychelle Omamo paid a courtesy visit to Amina J. Mohammed, Deputy Secretary General #UNSC on the occasion of her visit to New York to attend the United Nations Security Council High-Level briefing on the United Nations Support Mission in Libya (UNSMIL)"
2021-07-16,"The Cabinet Secretary Amb Raychelle Omamo paid a courtesy call on H.E Abdul Hamid Dbeibeh, Prime Minister of Libya on the occasion of her visit to New York to attend the United Nations Security Council High-Level briefing on the United Nations Support Mission in Libya (UNSMIL)1/2"
2021-07-09,"2/3 The visit was a follow-up on the successful State Visit to Kenya by Her Excellency Samia Suluhu Hassan, President of the United Republic of Tanzania in May 2021."
2021-07-06,"The Australian HC to Kenya, H.E.Luke Williams, yesterday paid a courtesy call on Amb.Raychelle Omamo CS @ForeignOfficeKE. They exchanged views on Bilateral and Multilateral issues of mutual interest and underscored the need to enhance trade and investment opportunities."
2021-07-06,H.E Ms. Sasirit Tanguirat Ambassador of the Kingdom of Thailand paid a courtesy call on the Cabinet Secretary @ForeignOfficeKE  Amb Raychelle Omamo and held fruitful discussions of mutual interests to both countries.
2021-06-25,The Kingdom of Spain Ambassador to Kenya H.E Javier Garcia De Viedma paid a courtesy call on @ForeignOfficeKE C.S Amb Raychelle Omamo. They discussed  bilateral issues that are of mutual interest to both countries.
2021-06-19,"CS Amb Raychelle Omamo held bilateral talks with H.E Mevlüt Çavuşoğlu,Foreign minister of Turkey on the margins of the Antalya Diplomacy Forum. They discussed enhancing trade between the two countries within the Big Four Agenda mainly in Health, Agriculture, and Education sectors"
2021-06-19,"Cabinet Secretary @ForeignOfficeKE Amb Raychelle Omamo and H.E Mohamed Abdirizak Mahamud, Foreign Minister of Somalia met on the sidelines of Antalya Diplomacy Forum #Meet4Diplomacy and reiterated the need to continue building the cordial relationship between the two countries."
2021-06-14,"Kenya expressed appreciation for India’s continued support in the Education sector through provision of scholarships, Capacity building courses and infrastructure development with India expressing commitment to consider increasing the number of scholarship offered to Kenya."
2021-06-12,Foreign Affairs C.S Amb Raychelle Omamo today held bilateral talks with the visiting India Minister of Foreign Affairs Dr. S. JAISHANKAR. They discussed bilateral relations and also cooperation in multilateral fora particularly #UNSC where both countries are members.
2021-06-11,"4/5  During her visit the CS also held meetings with Maj. Gen. (Rtd) Charles Tai Gituai, Interim Chairperson of Reconstituted Joint Monitoring &amp; Evaluation Commission and Mr. Nicholas Haysom, Special Representative of the Secretary General &amp; Head of UN Mission in South Sudan"
2021-06-11,"CS @ForeignOfficeKE Amb.Raychelle Omamo held a fruitful meeting with the Chairperson of the African Union Commission @AUC_MoussaFaki in AU Headquarters, Ethiopia on June 7. The meeting deliberated on strategic issues of shared interest in the Region &amp; within the African Continent"
2021-06-11,"H.E Dr. Mohammed Ghani Khayat, Saudi Arabia Ambassador to Kenya made a farewell call on C.S Amb Raychelle Omamo. The CS lauded Amb. Khayat for his efforts in further strengthening bilateral relations between Kenya and Saudi Arabia and wished him well as he moves to Romania."
2021-06-05,2/3  The Ministers welcomed the good progress made by the Sudan in implementing the transition and affirmed Kenya’s support to The Sudan and availability to share experiences in broad-based reform.
2021-05-25,"Kenya and Sweden have many shared priorities, especially in the area of trade and investment, gender, agriculture, water and sanitation, urban development, health, energy, environment, climate, oceans and global equitable access to vaccines."
2021-05-03,"Foreign Affairs C.S Amb. Raychelle Omamo  today @ForeignOfficeKE  held talks with Switzerland Ambassador to Kenya, H.E Valentin Zellweger, they discussed bilateral &amp; multilateral issues, including strategies of enhancing Kenya-Swiss ties."
2021-04-29,1/3 Outgoing Canada High Commissioner  to  Kenya H.E Lisa Stadelbauer paid a farewell call on Foreign Affairs C.S Amb. Raychelle Omamo at @ForeignOfficeKE .
2021-03-11,"PS Macharia Kamau and H.E., G. Duke Lefhoko, High Commissioner of the Republic of Botswana in Kenya held bilateral talks on Kenya - Botswana relations at the ministry of Foreign Affairs."
2021-03-08,The meeting discussed issues on peace and security in the region and the work of the UN support office Somalia.
2021-02-22,Ukraine Ambassador to Kenya H.E Andriy Pravednyk today paid a courtesy call on Foreign Affairs CAS Hon Ababu Namwamba. They discussions issues of mutual interest between Kenya and Ukraine.
2021-02-12,1/2 Foreign Affairs C.S Amb. Raychelle Omamo today met with Kenya's Ambassadors designates to Japan  Amb. Tabu Irina; Brazil Amb Lemarron Kaanto; Thailand. Amb. Lindsay Kiptiness;  and Australia Amb. John Tipis.
2021-01-07,The Special Envoy on South Sudan Hon. Kalonzo Musyoka  paid a courtesy call on Foreign Affairs C.S Amb. Raychelle Omamo. They discussed the status of implementation of the peace agreement in South Sudan.
2020-12-03,"H.E. Sidik Spahic, Ambassador of Bosnia and Herzegovina to Kenya with residence in the United Republic of Egypt today paid a courtesy call on Cabinet Secretary Amb. Raychelle Omamo. They discussed bilateral relations and cooperation in trade, tourism, textile and agriculture."
2020-11-23,"CS Amb. Raychelle Omamo welcomed H.E. Mr. Zhou Pingjian, Ambassador of the People's Republic of China to Kenya and wished him well during his tour of duty as the Head of Mission.1/2"
2020-10-23,"Principal Secretary @AmbMKamau and H. E Zhou Pingjian, Ambassador of the People’s Republic of China to Kenya held consultative meeting @ForeignOfficeKE . They discussed and appreciated the cordial and transformative bilateral and multilateral relations between the two countries."
2020-08-12,"@ForeignOfficeKE CAS @AbabuNamwamba together with her Ministry of Health counterpart, Dr. Mercy Mwangangi  this morning received medical supplies worth Kshs 26M from the Indian Government, presented by the Chargé d'affaires of the HC of India in Kenya, Mr. Ashish Sinha, at KEMSA."
2020-05-08,CAS @AbabuNamwamba taking an interview with @AlexChamwada at #JKIA last night when he received Kenyans who were stranded in India due to #COVID19 global lockdown.
2020-03-11,CS Amb. Raychelle Omamo chaired a meeting of Council of Cabinet Secretaries to receive the report of the Tripartite Technical Boundary Committee on the establishment of the Kenya -South Sudan - Uganda Tri-Junction
2020-03-09,Chief Administrative Secretary @ForeignOfficeKE Hon. @AbabuNamwamba held a meeting with Switzerland Ambassador to Kenya Amb Ralf Heckner. They discussed bilateral and multilateral relations between Kenya and Switzerland as well as development programs in the big four agenda.
2020-03-04,CS Amb. Raychelle Omamo received her Nicaraguan counterpart H.E. Mr. Denis Moncada Colindres in her office today. The two Foreign Ministers discussed matters of mutual interest between the two countries.
2020-03-04,"Amb. Dragan Zupanjevac of Serbia held talks with Hon @AbabuNamwamba as a follow up to his recent official visit to Belgrade.  They discussed cooperation on matters of trade, planned political consultation in Nairobi and scholarships for Kenyans to study in Serbian institutions"
2020-02-26,"Ministry of Foreign Affairs last evening joined members of the diplomatic community and business leaders in celebration of Kuwait  National Day hosted by the Embassy. Amb. Salim M Salim, Director UN &amp; Multilateral Affairs reiterated Kenya's commitments to deepen ties with Kuwait."
2020-02-25,"The late Chris Mburu, former Kenya's Amb to South Sudan is laid to rest at his home village in Mutomo, Kiambu.  The late Mburu was eulogized as a patriot who served Kenya with great dedicated and commitment. CS Raychelle Omamo delivered H.E Uhuru Kenyatta condolence message."
2020-02-21,"CAS @AbabuNamwamba met with Mr. Vuk Radojevit, Sec for Agriculture, Water Mngt &amp; Forestry of Serbia's Autonomous Province of Vojvodina in Novi Sad. They discussed cooperation in Agriculture, agri- digitisation &amp; mechanisation, food production, irrigation &amp; scientific research"
2020-02-10,"His Excellency Boubakar Keita, President of the Republic of Mali and Chair of AU Council of the Peers of Arts, Culture and Heritage hosted the inaugural session of the Council during a working breakfast to chart the way forward on championing Africa’s cultural renaissance"
2020-02-08,3/ Minister Xiandong appreciated Kenya’s solidarity and assured that the Chinese government has taken measures to secure Kenyan students and citizens in the affected regions in China.
2020-02-06,CS Omamo commended Mr. Shoukry for Egypt’s stewardship as the Chair of the AU Council of Ministers and reaffirmed Kenya’s support and commitment to the realization of the aspirations and objectives of the continental  body.
2020-02-03,Chief Administrative Secretary @ForeignOfficeKE Hon @AbabuNamwamba held a meeting with H.E Frantisek Dlhopolcek ambassador of the Slovak Republic to Kenya and discussed progression on the implementation of issues conversed during the official visit to Slovakia in November 2019.
2020-01-31,"@ForeignOfficeKE PS @AmbMKamau held bilateral talks with Mr. Matti Antonnen, PS Ministry of Foreign Affairs of Finland and Ms Nina Vaskunlahti, the undersecretary External Economic Relations. They discussed deepening cooperation between the two countries."
2020-01-25,"CS @ForeignOfficeKE Amb. Raychelle Omamo, unveiled a plaque for the chancery building of the #India Mission and also inaugurated a portrait of Mahatma Gandhi, created by @ClaversOdhiambo , celebrating 150th birth anniversary of Mahatma Gandhi. @Mahatma150"
2019-12-03,"On arrival to India the PS @AmbMKamau was received by Mr. Ramavta Goenka, Honorary Consul of Kenya to India based in Mumbai."
2019-12-03,"PS @AmbMKamau held a briefing meeting with @ForeignOfficeKE  team in India led by Willy Bett, Kenyan High Commissioner to New Delhi on issues of mutual interest between Kenya and India.  @AmbMKamau later held bilateral meeting with his Counterpart in New Delhi."
2019-11-28,"Foreign Affairs CAS @AbabuNamwamba  is in Addis Ababa Ethiopia for the 47th Session of the IGAD Council of Ministers meeting, to adopt a new Treaty for IGAD and review institutional structures to make it more responsive to regional challenges."
2019-11-15,@ForeignOfficeKE Principal Secretary @AmbMKamau met with Chinese Ambassador H.E Ambassador Wu Peng and discussed preparations for the SGR freight services launch on 17th of December 2019. A delegation from China is expected.
2019-11-15,"Kenyas Ambassador to Italy Amb Jackline Yonga yesterday had the honour to present her letters of credence to H.E Sergio Mattarella, the President of the Republic of Italy. @Diplomacy_Kenya @AbabuNamwamba @AmbMKamau @amolosango"
2019-11-14,"@ForeignOfficeKE PS @AmbMKamau and Environment Cabinet Secretary KeriakoTobiko met with Vice President and Foreign Affairs Minister of Costa Rica, H.E. Epsy Campbell Barr at the margins of the #ICPD25 #NairobiSummit that came to a close today."
2019-11-12,"CS Treasury @BaloziYatani, CS @AMB_A_Mohammed pose for a photo with her Royal Highness Princess Mary of Denmark, Princess Sinaitakala of Tonga, Denmark's Development Minister Rasmus Prehn and Amb Ben Ogutu after a dinner in honor of the #ICPD25 #NairobiSummit delegation.@UNFPA"
2019-11-07,"P.S @AmbMKamau  met  H.E. Mr. Munir Akram, PR of Pakistan to the UN, on the sidelines of the UNSC Kenya launch. Discussions centred on regional stability and countering violent extremism.#Kenya4UNSC ,#SupportAfricavoteKenya"
2019-11-06,"#Kenya4UNSC campaigns are in full throttle! PS @AmbMKamau &amp; Kenya PR Addis called on H.E Mrs. Darja Bavdaz, PR/Slovenia to NY. Key in the discussions was Strengthening the synergies between UNSC &amp; AU Peace &amp; Security Council to augment efforts towards sustainable peace &amp; security"
2019-11-05,"Kenya candidature for #UNSC gains traction globally ahead of the launch on the 7th November in New York. Senegal PR in NY met with PS @AmbMKamau, Special Envoy @amolosango, Amb. Catherine, and PR NY Amb.Amayo.They discussed candidature and bilateral issues."
2019-10-23,"Algeria has reaffirmed support for Kenya's AU endorsed candidature for non-permanent seat on UN Security Council 2021/22, during a bilateral meeting between Hon @AbabuNamwamba and Amb. Lazhar Soualem, DG of the Algeria Foreign Ministry on the sidelines of the NAM Summit in Baku."
2019-10-15,"Algeria has pledged to support Kenya in its bid for the United Nations Security Council’s #UNSC non-permanent seat for the 2021-2022 term. Outgoing Algerian Ambassador to Kenya, Salah Elhamdi gave the assurance at State House when he paid a farewell call on President Kenyatta."
2019-10-14,"PS @AmbMKamau and his counterpart PS Saitoti Torome received Amb Ib Petersen, Denmark special envoy for #ICPD25 and Pio Smith, Chief of Staff/UNFPA at KICC where they held a briefing on the level of preparedness ahead of the upcoming ICPD25 Conference in Nairobi on 12-14 Nov 2019"
2019-09-24,"Political and Diplomatic Secretary Amb Tomo Amolo held bilateral talks with Alle Dorhout, Director Africa, Ministry of Foreign Affairs of the Kingdom of the Netherlands. He was accompanied by H.E Frank Makken, Netherlands Ambassador to Kenya @amolosango @NLinKenya"
2019-09-16,"Ethiopia Foreign Minister H.E Gedu Andargachew congratulated Kenya for the endorsement and the launch and promised to support Kenya all the way to the election at the #UNSC to ensure Africa interest are safeguarded. #Kenya4UNSC Support Africa, Vote Kenya"
2019-08-30,The Kenya Business forum was organized around the need to maximize Kenya's gains from @ticad7 pitching for FDI and to discuss potential partnerships with Japanese companies and other International investors.
2019-08-29,"The Diaspora forum @ticad7 shared perspectives on how to catalyze Africans in Japan skills,knowledge and innovations contributions towards Africa's sustainable development in what they termed intellectual remittances."
2019-08-29,"@ForeignOfficeKE CS Amb Monica Juma and CS Education Prof. George Magoha following a panel discussions at the Diaspora forum on Leveraging Diaspora knowledge, skills and innovation exchange and sharing to strengthen Africa-Japan Development Partnership at the margins of @ticad7"
2019-08-29,"Kenya co-hosted with Japan and United Nations Development Programme (UNDP) Sustainable Blue Economy on the margins of the 7th Tokyo International Conference on African Development (TICAD7), attended by H.E Danny Faure President of Seychelles and CS James Macharia.
@UNDP"
2019-08-16,Chief Administrative Secretary @ForeignOfficeKE Hon @AbabuNamwamba held a meeting with the South Sudan Civil Society Forum representatives who briefed him on the status of the Implementation of the revitalized peace agreement signed in 2018.
2019-08-08,"Political and Diplomatic Secretary Amb. Tom Amolo received and held consultative meeting with Amb. Soehardjono Sastromihardjo, Ambassador of the Republic of Indonesia to Kenya. They discussed bilateral issues between Kenya and Indonesia.@amolosango"
2019-08-06,"Foreign Affairs PS @AmbMKamau held a meeting with US Under-Secretary for Political Affairs Amb. David Hale, accompanied by H.E @USAmbKenya. The two exchanged views on issues at bilateral, regional and international level. Amb Hale is on a regional visit to Kenya,Somalia and Sudan"
2019-08-01,"PS @AmbMKamau called on Prof. Kabudi Pamalagamba, Minister for Foreign Affairs, Tanzania and delivered a special messsage to him. The two discussed commitments to deepening bilateral engagements of the two countries based on their longstanding friendship and mutual cooperation."
2019-07-16,"Foreign Affairs CAS @AbabuNamwamba today received H.E Paramasivum Pillay Vyapoory, acting President of the Republic of Mauritius who is leading the Mauritian delegation to the #COMESA21 Trade Fair in Nairobi, Kenya."
2019-07-15,"Deputy Political and Diplomatic Secretary Amb. John Tipis and Deputy-Director Asia, Saadia Salim received Mr.Tharman Shanmugaratnam, Senior and Coordinating Minister for Social Policies of Singapore who is in Kenya to attend the inaugural Afro-Asia FinTech Festival."
2019-07-09,"Foreign Affairs PS @AmbMKamau held talks with Director Igad's Early Warning and Response Mechanism (CEWARN) Camlus Omogo who briefed on the upcoming 14th Committee of Permanent Secretaries (CPS) meeting in Addis Ababa, Ethiopia to review progress on violent conflict prevention"
2019-07-05,"Kenya's rep to Cuba Amb Anthony Mwaniki Muchiri, tuesday in Kingston, presented his Letters of Credence to H.E. the Most Hon. Sir Patrick Allen, ON, GCMG, CD, KSt.J, Governor General of Jamaica accrediting him as the first Kenyan High Commissioner to Jamaica w/ residence in Cuba"
2019-06-30,"Foreign Affairs PS @AmbMKamau   led the Kenya delegation to the 3- day technical Senior Officials Meeting (SOM) while Amb. Baak Valentino Akol Wol, the Undersecretary, South Sudan Foreign Ministry, led the South Sudan delegation."
2019-06-30,Reading CS @Diplomacy_Kenya statement CAS @AbabuNamwamba thanked South Sudan for accepting Kenyans invitation to participate in the historic JCC that lays a firm foundation for future bilateral engagement between Kenya and South Sudan.
2019-06-27,"CAS @ForeignOfficeKE Hon @AbabuNamwamba delivers key note message at the celebration of the 152nd Anniversary of Canada's Confederation at the Canadian residence. He reiterated the warm, and cordial relations that exists between the two countries."
2019-06-27,PS @ForeignOfficeKE @AmbMKamau held bilateral talks with the newly appointed Ireland Amb to Kenya H.E Fionnuala Quinlan.They discussed bilateral and multilateral cooperation between the two countries.
2019-06-17,"Earlier on the Chief Administrative Secretary @AbabuNamwamba had a productive bilateral meeting with Amb. Hamad Sulaiman Al-Mashaan, Assistant Minister for Africa Affairs of Kuwait."
2019-06-15,PS @AmbMKamau and Mr. Francisco Duarte Lopes the Permanent Representative of Portugal to the UN held consultative  meetings with officials from the UNDESA and the Group of Friends on Oceans on the Oceans 2020 Conference which will be co-hosted by Kenya and Portugal in June 2020
2019-05-29,"The 2nd High-level segment of the #UNHabitatAssembly underway featuring the Presidents of Kenya H.E Uhuru Kenyatta, and Salva Kiir  of South Sudan and the Prime Ministers of Yemen Dr Karen Abd al-Malik Saeed, and Josaia Voreqe Bainimarama of Fiji @UNHABITAT #Innovate4Change"
2019-04-23,"Amb.Tom Amolo the Political and Diplomatic Secretary @ForeignOfficeKE held a meeting with LT General Peter Massao, The Director of National Defense College (NDC) of Tanzania who paid him a courtesy call. LT Massao is leading a delegation on a one week study tour to Kenya."
2019-04-11,"The outgoing Minister Counselor and Deputy Head of Missions of the Peoples Republic of China Mr. Li Xuhang paid a courtesy call to the Political  Diplomatic Secretary at MFA, Amb Amolo introducing the incoming  Minister Counselor and Deputy Head of Missions Mr. Zhao Xiyuan."
2019-04-01,Foreign Affairs led by PDS Amb Tom Amolo and Amb Purity Muhindi- Director Africa hosted a farewell luncheon for H.E Ms Koleka Anita Mqulwana  outgoing High Commissioner of South Africa to Kenya. During her tenure she was instrumental in increasing South Africa investors to Kenya.
