,Date,Text
14,2023-01-25,"The Head of State noted that this will generate more income and create jobs, especially for the youth.

Speaking during the Dakar 2 Summit - Feed Africa in Senegal on Wednesday, President Ruto said these are the initiatives that will transform Africa."
15,2023-01-24,"“This has manifested through sustained cooperation in areas of trade, energy, health, water, infrastructure, agriculture, among others,” explained President Ruto who is in France for a one-day visit."
16,2023-01-24,They acknowledged that Kenya and France enjoy warm and cordial historical relations that continue to grow on an upward trajectory.
17,2023-01-24,"RUTO MEETS MACRON, AGREE TO ENHANCE BUSINESS OPPORTUNITIES

Kenya and France have agreed to enhance their cooperation in developmental projects

The two countries have further undertaken to diversify and harness existing business opportunities between them."
18,2023-01-18,"The High Commissioner said Canada will continue working with Kenya on areas of mutual interest.

He thanked the President for the role Kenya is playing in conflict resolution in the Horn of Africa."
19,2023-01-10,"3. A peaceful and secure Sudan is critical for the prosperity and stability of the Horn of Africa and the African continent at large. As a fellow IGAD Member State, Kenya will, as always seize every opportunity available to support our brothers and sisters in the Sudan."
20,2023-01-10,The Agreement sets out a foundation for broad-based consultations between the signatories on important actions that will ensure a successful transition and usher in stability for the Sudan.
21,2023-01-10,"1.  Kenya fully supports the Political Framework Agreement signed on December 5, 2022 between the Transitional Sovereignty Council and the civilian political actors in the sisterly Republic of the Sudan, reaffirming a strong commitment to peaceful future of their country."
22,2022-12-16,"“The U.S.-Africa Summit presents the opportunity for us to trade more,” he said.

He was speaking on Friday during the Executive Business Roundtable and Investment Forum in Washington, D.C, United States of America."
23,2022-12-16,"PRESIDENT RUTO TO U.S. INVESTORS: KENYA HAS IMMENSE UNTAPPED INVESTMENT OPPORTUNITIES 

There is a need for trade expansion between the United States of America and Kenya.

President @WilliamsRuto said the two countries must widen and diversify commerce for their economic growth."
24,2022-12-16,"President Ruto was speaking in Washington D.C when he met Kenyans living in the United States.

‘We are keen to work with you; to utilize your networks to bring investments to Kenya so that we can create opportunities and move our country forward.“"
25,2022-12-16,"Secretary of State @SecBlinken said Kenya is an anchor state that must be in the frontline in advancing stability especially in Ethiopia, Somalia and the Democratic Republic of the Congo."
26,2022-12-16,"US TO WORK WITH KENYA TO ENSURE PEACE IN HORN OF AFRICA

The United States of America will work with Kenya to ensure there is peace in the Horn of Africa."
27,2022-12-15,"President Mahamud credited Kenya for its role in advancing peace in region.

“Your sacrifices for Somalia is commendable; your contribution to defeat terrorism is phenomenal,” he said."
28,2022-12-15,"He was speaking on Thursday in Washington, D.C. in the United States of America when he met Somali President @HassanSMohamud.

“Kenya and Somalia have a lot in common. We have to ensure that there is stability for the sake of our prosperity,” said President Ruto."
29,2022-12-15,"STABILITY IN SOMALIA IS VITAL FOR PEACE IN HORN OF AFRICA

President @WilliamsRuto has said stability in the Horn of Africa is dependent on peace in Somalia.

He noted that leaders have to work together to defeat terrorism in the region."
30,2022-12-15,"He was speaking on Thursday in Washington, D.C., United States of America, during a meeting with World Bank President @DavidMalpassWBG.

“Kenya acknowledges the World Bank and its role in financing our development needs.”"
31,2022-12-11,"They included heads of Meta, Microsoft, Google, Master Card, Visa Card, Multichoice, Thunderbird and Estonia embassy officials."
32,2022-12-07,"United Kingdom Foreign Secretary of Foreign, Commonwealth and Development Affairs James Cleverley said his country is committed to supporting Kenya’s sustainable development  programmes."
33,2022-12-07,"UNITED KINGDOM LAUDS KENYA FOR ADVANCING PEACE IN THE REGION

The United Kingdom has commended Kenya for the role it continues to play in advancing peace in the Horn of Africa."
34,2022-12-05,"The legislators will be sworn in on December 21 in Arusha, Tanzania.

The MPs, drawn from across the political divide, promised to put aside party differences and put Kenya's interest first."
35,2022-12-03,"President Ruto was on a one-day official visit to South Sudan. He was accompanied by Roads and infrastructure Cabinet Secretary @kipmurkomen among others.

South Sudan’s First Vice President Riek Machar was present at the press briefing."
36,2022-12-03,"""On behalf of the people of South Sudan we are grateful to Kenya for allowing our traders to choose where to clear their goods without any restrictions,"" said President Kiir."
37,2022-12-03,President Kiir thanked Dr Ruto for removing restrictions that made it difficult for traders from South Sudan to clear their goods.
38,2022-12-03,President Ruto further said Kenya will provide land to South Sudan in Mombasa to build a dry port to ease the cost of doing business between citizens of the two nations.
39,2022-12-03,"Dr Ruto said Kenya was keen to make it easier for goods to reach South Sudan.

""Traders from South Sudan can choose the most convenient point to pick their goods with no restrictions,"" said Dr Ruto."
40,2022-12-03,"President @WilliamsRuto said South Sudan traders can choose to clear their goods from the port of Mombasa, Nairobi or Naivasha. 

The President was speaking in Juba after a bilateral meeting with President Salva Kiir at his office on Saturday."
41,2022-12-03,"PRESIDENT RUTO: KENYA TO HELP SOUTH SUDAN MOVE GOODS FROM MOMBASA WITH EASE.

Kenya will facilitate cost effective movement of goods from the port of Mombasa to South Sudan."
42,2022-11-28,"Presidents @KagutaMuseveni (Uganda), Felix Tshisekedi (DRC), @SuluhuSamia  (Tanzania, through Dr Stergomeana Tax - Minister of Foreign Affairs and East African cooperation), and @Kagame (Rwanda) joined the meeting virtually."
43,2022-11-28,Present were the President of Burundi and Chairperson of the EAC Heads of State Summit @GeneralNeva and the Facilitator of the Nairobi Process former President Uhuru Kenyatta.
44,2022-11-24,"“The Zones will support a wide range of business activities by providing tax benefits, quality administrative services and a comfortable living environment,” he said.

He was speaking on Thursday after visiting the Incheon Free Economic Zone in the Seoul Capital Area, South Korea"
45,2022-11-24,"Foreign and Diaspora Affairs Cabinet Secretary @DrAlfredMutua handed over a letter of intent to IVI Director-General Jerome Kim at a meeting chaired by President William Ruto in Seoul, South Korea."
46,2022-11-23,President Yeol said the government of South Korea will help Kenya to manage the effects of drought.
47,2022-11-23,"Kenya will also work with South Korea to develop manufacturing plants in the Konza Technopolis, an export promotion zone dedicated to pharmaceutical manufacturing, vaccine production and value addition in agriculture."
48,2022-11-23,"President @WilliamsRuto and his South Korean counterpart Yoon Suk Yeol witnessed the signing of the agreement at Yongsan Presidential Office, Seoul, South Korea."
49,2022-11-23,"SOUTH KOREA COMMITS TO SUPPORT KENYA DEVELOPMENT AGENDA

South Korea has agreed to support Kenya's development programmes by committing Sh120 billion (US 1 billion dollars) to various projects."
50,2022-11-23,"President Ruto was speaking in Seoul, South Korea during a business forum to unlock trade and investment opportunities between Kenya and South Korea."
51,2022-11-23,"President @WilliamsRuto said Kenya has created an enabling environment to attract investors.

He welcomed the South Korea business community to invest in major projects in transport,  infrastructure, agriculture, health and ICT in Kenya."
52,2022-11-23,"The agreement also seeks to promote effective Public-Private Partnerships and address youth unemployment. 

The deal was signed by the Kenya National Chamber of Commerce and Industry (KNCCI), the Korea Institute of Procurement and South Korea's SDG Youth."
53,2022-11-23,"SOUTH KOREA BUSINESS COMMUNITY TO EXPLORE INVESTMENT OPPORTUNITIES IN KENYA. 

Kenya and South Korea business organisations have signed a partnership agreement to fast track trade and investment."
54,2022-11-23,"President Ruto said Kenya will work closely with the Korean Government to enhance clean energy to mitigate the effects of climate change.

Speaker Kim Jin Pyo pledged to support Kenya's quest to increase agricultural exports to South Korea and secure job opportunities for Kenyans"
55,2022-11-23,"He said: ""The imbalance of trade favours Korea and Parliament can be instrumental in addressing this situation.""  

President Ruto made the remarks at the Parliament building in Seoul, South Korea, when he held talks with speaker Kim Jin Pyo."
56,2022-11-23,"Kenya, President Ruto added, wants to increase tea, avocado and coffee exports to South Korea to match tech imports to Kenya. 

The President observed that the current tariffs on Kenyan products impede trade and asked Parliament to reduce them."
57,2022-11-23,"PRESIDENT RUTO TO SOUTH KOREA PARLIAMENT: FIX TRADE IMBALANCE THROUGH LEGISLATION 

President @WilliamsRuto has urged the South Korean Parliament to pass legislation that will ease trade between Kenya and South Korea."
58,2022-11-22,"Speaking in Seoul, South Korea, during a meeting with the Kenya Community in Korea, President Ruto said bilateral talks will also focus on securing markets for Kenyan products."
59,2022-11-22,"""We have about 300 Kenyans in South Korea, the next time I come to South Korea I hope we will have 10,000 Kenyan youth working here""."
60,2022-11-22,"President @WilliamsRuto said Kenya will engage the South Korean Government to unlock opportunities in technology, trade, investment and maritime operations."
61,2022-11-22,"PRESIDENT RUTO: GOVERNMENT TO EXPLORE OPPORTUNITIES FOR KENYANS ABROAD 

The government will expand economic ties with South Korea to create business and job opportunities for Kenyans."
62,2022-11-22,"President Ruto's first meeting on Tuesday will be with the Kenyan community living in South Korea.

The President is in South Korea for a three-day official visit on the invitation of his counterpart Yoon Suk Yeol."
63,2022-11-22,"KENYA TO EXPAND ECONOMIC TIES AND DIPLOMATIC RELATIONS WITH SOUTH KOREA

President @WilliamsRuto has arrived in Seoul, South Korea, for bilateral talks with President Yoon Suk Yeol."
64,2022-11-19,"The road forms part of the 454KM Malindi-Lunga Lunga-Tanga-Bagamoyo East African Coastal Road Corridor that connects Kenya and Tanzania. 

He said the project furthers the Government’s deliberate focus on sustainable, quality and trusted connection that works for the people."
65,2022-11-09,"Speaking at the Kenyatta International Convention Centre (KICC) during the Kenya-South Africa high level business forum, the two leaders committed to unlock opportunities for investors."
66,2022-11-09,President @WilliamsRuto and his South African counterpart @CyrilRamaphosa urged entrepreneurs from both nations to take advantage of the move.
67,2022-11-09,"PRESIDENTS RUTO AND RAMAPHOSA AGREE TO REMOVE TRADE BARRIERS TO EXPAND TRADE

Kenya and South Africa have resolved to eliminate trade barriers between the two countries to spur trade."
68,2022-11-09,"The Head of State was speaking at State House, Nairobi, after holding bilateral talks with South African President @CyrilRamaphosa who is in the country for a two-day State Visit."
69,2022-11-09,"""Kenya considers South Africa a strategic ally and we are committed to building stronger economic ties between our nations,"" he said."
70,2022-11-09,"Kenya ordinary passport holders will be allowed to enter South Africa Visa-free for up to 90 Days per calendar year beginning January 1, 2023.   

President @WilliamsRuto explained that a return policy has also been agreed when immigration laws and regulations are breached."
71,2022-11-09,"PRESIDENT RUTO: KENYA: SOUTH AFRICA VISA FREE REGIME WILL BOOST TRADE AND INVESTMENT

Kenya and South Africa have agreed on a visa-free regime to promote trade and investment."
72,2022-11-09,"Kenya - South Africa High-Level Business Forum, KICC, Nairobi."
73,2022-11-09,"Kenya - South Africa media briefing, State House, Nairobi."
74,2022-11-09,"State Visit by H.E Cyril Ramaphosa, President of the Republic of South Africa, State  House, Nairobi."
75,2022-11-08,"He spoke on Tuesday in Sharma El-Sheikh, Egypt, during the International High-Level Panel on water investment for Africa.

The Panel is tasked with charting actionable pathways for mobilising $30 billion annually by 2030."
76,2022-11-08,"He was speaking on Tuesday in Sharm El-Sheikh, Egypt, during the launch of African Carbon Markets Initiative (ACMI)."
77,2022-11-07,"In his address on Monday at the ongoing COP27 in Egypt, the President cited the case of East Africa whose hydroelectric power potential is 100,000 megawatts. 
 
He insisted the world can no longer afford to power its industrialisation using dirty energy."
78,2022-11-07,"He was speaking on Monday in Sharm El-Sheikh, Egypt, when he held bilateral talks with President William Ruto.

The Prime Minister lauded Kenya for pioneering climate leadership and pledged to further support the country in advancing regional peace and security."
79,2022-11-07,"Some of the investments include the Malindi Solar Expansion, Menengai Geothermal, Grand High Falls Dam, Nairobi Railway City, among others."
80,2022-11-07,"PRESIDENT RUTO: KENYA AND UK TO PARTNER IN GREEN ENERGY PROJECTS

The United Kingdom will fast-track new green investments in the country."
81,2022-11-07,"3/4
President @WilliamsRuto, who witnessed the signing of the agreement on Monday in Sharm El-Sheikh, Egypt, said the move furthers Kenya’s green energy transition."
82,2022-11-06,"He will advocate for the implementation of the Paris Agreement adopted by 196 Parties at COP21 in 2015 that undertakes to combat climate change and adapt to its effects.

President Ruto later met his Rwanda counterpart @PaulKagame for bilateral talks."
83,2022-11-06,"PRESIDENT RUTO TO PUSH AFRICA’S AGENDA AT CLIMATE CHANGE CONFERENCE

President @WilliamsRuto has arrived in Sharm El-Sheikh, Egypt for the 2022 United Nations Climate Change Conference (COP27)."
84,2022-11-03,"3/3
Kenya secured the endorsement of the African Union to present a candidate during the High Level Mid-Year Coordination Meeting held in Zambia in July.

Ms Karigithu is a renowned maritime expert with 26 years experience in the sector."
85,2022-11-02,"In light of our regional spirit of collective action, I urge our Ethiopian brothers and sisters to seize the opportunity provided by this agreement to usher in a new era of peace and prosperity for their beloved country."
86,2022-11-02,"To the People and Government of South Africa, I say thank you, for hosting the Ethiopia peace talks."
87,2022-11-02,"...for their facilitation and tireless efforts, wisdom and patience, and most of all, for their unity of purpose that brought this day of peace that heralds a bright future for the people of Ethiopia."
88,2022-11-02,"I commend the AU Panelists, H.E. Olusegun Obasanjo, former President of Nigeria and AU High Representative for the Horn of Africa; H.E Uhuru Kenyatta, former President of Kenya; H.E Phumzile Mlambo-Ngcuke former South African deputy President,..."
89,2022-11-02,"Kenya joins in complimenting our Ethiopian brothers and sisters for the step taken to cease hostilities, open up humanitarian corridors, and restore services. This mutual agreement will create the necessary environment to nurture durable peace and political stability in Ethiopia."
90,2022-11-02,"I applaud His Excellency Prime Minister Aby Ahmed and the leadership of Tigray for their bold step towards restoring peace in Ethiopia. I also salute the great people of Ethiopia, for whom I wish an era of cohesion, integration and reconciliation."
91,2022-11-02,"On behalf of the people and the Government of Kenya, I commend the parties to the Ethiopia peace process, namely, the Government of the Federal Democratic Republic of Ethiopia and the Tigray Regional Government for signing a Peace Agreement today."
92,2022-10-31,"2/4
Kenya, he added, has plenty more to offer the United States as a trade partner. Kenya largely exports apparel products to the USA with potential to export more products including value added tea, coffee and cut flowers."
93,2022-10-26,"President @sanchezcastejon noted that Africa is a priority for Spain’s foreign policy.

“We have agreed to develop a broad bilateral agenda, fostering political, economic and cultural cooperation,” he explained."
94,2022-10-26,"It is the first visit to Kenya by a President of the Government of the Kingdom of Spain since the establishment of diplomatic relations between the two countries, 57 years ago."
95,2022-10-26,"He made the remarks on Wednesday in State House, Nairobi, during the official visit to Kenya by the President of the Government of the Kingdom of Spain, Pedro Sánchez."
96,2022-10-26,President @WilliamsRuto said Kenya was committed to strengthening economic and investment relations with Spain for the benefit of the people.
97,2022-10-26,"PRESIDENT RUTO: KENYA AND SPAIN INK MORE TRADE DEALS

Kenya and Spain have agreed to expand relations in trade, health and education.

Kenya also welcomed the interest of Spanish companies in tourism, agriculture, infrastructure, water management and renewable energy projects."
98,2022-10-25,"1/3
President @WilliamsRuto has congratulated @RishiSunak on his appointment as Prime Minister of the United Kingdom🇬🇧.

This follows his election by the Conservative Party."
99,2022-10-22,"The President spoke after talks with Sheikh Shakhboot Al Nahyan, United Arab Emirates's Federal Minister of State for Foreign Affairs, at State House Nairobi."
100,2022-10-22,"KENYA TO EXPAND TRADE TIES WITH UNITED ARAB EMIRATES 

Kenya will grow its trade with the United Arab Emirates, President @WilliamsRuto has said."
101,2022-10-19,"The President said this on Wednesday when he met members of the UN High-Level Advisory Board on Effective Multilateralism led by Former President of Liberia @MaEllenSirleaf at State House, Nairobi."
102,2022-10-18,"The President said during the envoy’s tour of duty in Kenya, trade between the two countries grew tremendously, citing livestock exports to Oman.

He was speaking on Tuesday at State House, Nairobi, when he bid farewell to the diplomat."
103,2022-10-18,"PRESIDENT RUTO APPLAUDS OUTGOING OMAN AMBASSADOR.

President @WilliamsRuto has commended the outgoing Oman Ambassador to Kenya Saleh Sulaiman Al-Harthi for his commitment to enhancing relations between Kenya and Oman."
104,2022-10-18,"KENYA-CHINA TIES: PRESIDENT RUTO SEEKS BETTER TRADE DEALS.

President @WilliamsRuto has expressed confidence that trade between Kenya and China will increase."
105,2022-10-17,Kenya will be seeking to demonstrate its leadership in the area of climate change and seek partners in forest restoration during the United Nations Climate Change Conference (COP27) in Egypt next month.
106,2022-10-13,"The credentials received at State House, Nairobi, were from Subutay Yüksel (Turkey), Dr Roberto Natali (Italy), Namgya Khampa (India) and Arnaud Suquet (France)."
107,2022-10-13,"President @WilliamsRuto Thursday received credentials from newly appointed ambassadors of Turkey, Italy, India and France.

He said Kenya was keen on furthering  diplomatic ties with the countries for the benefit of the people."
108,2022-10-13,"The President pledged to continue to strengthen relations and advance areas of common interests between Kenya and Japan.

He spoke on Thursday at State House, Nairobi, when he met ambassador of Japan to Kenya, Okaniwa Ken."
109,2022-10-13,"President @WilliamsRuto has recognised Japan’s contribution towards infrastructure development in Kenya. 

The President also lauded Japan for it's technical capacity building through scholarships and the promotion of Foreign Direct Investment into Kenya."
110,2022-10-13,"The President was speaking on Thursday at State House, Nairobi, when he bid farewell to the Ambassador of Egypt to Kenya, Mr Khaled ElAbyad, whose tour of duty has come to an end."
111,2022-10-13,"PRESIDENT WILLIAM RUTO - KENYA KEEN TO EVEN BALANCE OF TRADE WITH EGYPT. 

President @WilliamsRuto has said Kenya is keen on developing stronger trade relations with Egypt."
112,2022-10-12,"Kenya exports tea, coffee, vegetables and leather to Indonesia."
113,2022-10-12,"The President said this on Wednesday when he met Indonesia Speaker of the House of Representatives Puan Maharani at State House, Nairobi.

Dr Maharani said Indonesia will advance its partnership with Kenya in training, knowledge transfer and capacity building."
114,2022-10-12,"President @WilliamsRuto said the cordial relations enjoyed between the two countries must be expanded for the benefit of the people.

Kenya, he added, was keen on adding value to its products that are exported to Indonesia."
115,2022-10-12,"PRESIDENT WILLIAM RUTO — KENYA LOOKS FORWARD TO INCREASED TRADE WITH INDONESIA. 

Kenya looks forward to growing trade and expanding investments with Indonesia."
116,2022-10-10,"""Once Cabinet Secretaries are approved by Parliament, those concerned with EAC issues will meet their Tanzania counterparts to fix the outstanding barriers to pave way for improved business environment,"" said President Ruto."
117,2022-10-10,"Kenya and Tanzania work to improve trade ties, Dar es Salaam

Kenya will work with Tanzania to eliminate barriers to cross-border trade.

President @WilliamsRuto said he has agreed with President @SuluhuSamia on a plan that will spur commerce between the two countries."
118,2022-10-10,"President Ruto is keen on deepening economic, cultural, and diplomatic ties with Austria."
119,2022-10-10,"The Head of State wished President Van der Bellen success as he begins a new term.

Kenya and Austria share longstanding cordial relations that have been of mutual benefit to the peoples of both nations."
120,2022-10-10,"PRESIDENT WILLIAM RUTO CONGRATULATES PRESIDENT ALEXANDER VAN DER BELLEN. 

President @WilliamsRuto has congratulated President @vanderbellen following his re-election as Federal President of Austria."
121,2022-10-09,"Kenya is keen on exploring ways of expanding business opportunities and increasing trade volumes with Tanzania.

Tanzania is a strategic partner in the EAC region and has been Kenya’s second largest export destination after Uganda in East Africa."
122,2022-10-09,"PRESIDENT WILLIAM RUTO ARRIVES IN TANZANIA

President @WilliamsRuto Sunday evening arrived in Dar es Salaam for a two-day state visit.

He is scheduled to hold talks with his Tanzanian counterpart, President @SuluhuSamia on Monday."
123,2022-10-09,"Other heads of State and governments at the Independence fete were Presidents @GeneralNeva (Burundi and EAC Chairman), Salva Kiir (South Sudan), Hussein Ali Mwinyi (Zanzibar) and @HassanSMohamud (Somalia)."
124,2022-10-09,"“It is our place as leaders and citizens of the EAC region to work together to further integration,” he noted.

He said this today during Uganda's 60th Independence Day celebrations at Kololo Ceremonial Grounds in Kampala."
125,2022-10-08,"President Ruto is in Uganda for the celebration of the 60th Independence Day, which will be held Sunday."
126,2022-10-08,"President @WilliamsRuto and his Ugandan counterpart @KagutaMuseveni Saturday held talks at State House, Entebbe.

The discussion focussed on diplomatic ties and the enhancement of intra-East African trade."
127,2022-10-08,"While in Uganda, the President is expected to hold talks with President Yoweri Museveni."
128,2022-10-08,"President Ruto travels to Kampala for Independence Day Celebrations 

NAIROBI, October 8, 2022, (PPS) 

President @WilliamsRuto has travelled to Kampala, Uganda, to attend the country’s 60th Independence Day celebrations.

The President left Saturday afternoon."
129,2022-10-07,"The Envoy affirmed US efforts in supporting peace and security particularly in Ethiopia and DRC and thanked Kenya for her continued pivotal role in anchoring stability in the region. 

The President reassured of Kenya’s continued support for peace in the region."
130,2022-10-06,"4/4
President @WilliamsRuto urged Prime Minister @AbiyAhmedAli  to make use of the Lamu Port as the home port for the Southern part of Ethiopia."
131,2022-10-06,"3/4
“Kenya🇰🇪-Ethiopia🇪🇹 partnership is a cornerstone of our mutual benefit and regional stability,” noted President Ruto.

He spoke today when he held talks with Prime Minister Ahmed at his office in Addis Ababa."
132,2022-10-06,"2/4
President @WilliamsRuto said he will work closely with Ethiopia's Prime Minister @AbiyAhmedAli to reconfigure the two countries’ priorities for socio-economic prosperity of the people."
133,2022-10-06,"1/4
Kenya🇰🇪is keen on exploiting its long-standing relations and proximity with Ethiopia🇪🇹 to increase cross-border trade."
134,2022-10-06,"President @WilliamsRuto has arrived in Addis Ababa🇪🇹, where he will hold talks with Prime Minister @AbiyAhmedAli  and also launch Safaricom Ethiopia.

Kenya🇰🇪 is keen on exploring new areas of cooperation for the mutual benefit of the people."
135,2022-10-06,"President @WilliamsRuto has left for Addis Ababa, Ethiopia, where he will hold bilateral talks with Prime Minister @AbiyAhmedAli. The two leaders will thereafter preside over the launch of Safaricom in Ethiopia."
136,2022-10-05,"3/4
President Ruto spoke at the Kenyatta International Convention Centre in Nairobi on Wednesday when he flagged off the first consignment of Kenya tea destined for Accra, Ghana, under the African Continental Free Trade Area (AfCFTA) trade initiative."
137,2022-09-23,"He spoke during a meeting with World Health Organisation Director General @DrTedros, New York, United States."
138,2022-09-23,"He spoke during a meeting with the President of the African Development Bank Group Dr @Akinwumi in New York, United States."
139,2022-09-22,"Kenya will continue expanding its strategic partnership with the United States of America to advance peace and prosperity in Africa.

President @WilliamsRuto and First Lady @MamaRachelRuto at a reception hosted by the @POTUS during the 77th Session of the #UNGA, New York."
140,2022-09-21,"President @WilliamsRuto address to the 77th session of the UN General Assembly, New York, United States. 
https://t.co/wj0SkM7Ifn"
141,2022-09-19,"President @WilliamsRuto in London, United Kingdom, to attend the funeral of Her Majesty Queen Elizabeth II."
142,2022-08-13,"2/3
The team led by former Sierra Leone President Ernest Bai Koroma said the electoral process has been relatively transparent and all the observers have issued positive reports."
143,2022-08-06,"2/3
The 60-bed capacity specialist hospital, co-funded by the Govts of Kenya and Hungary, will provide advanced cancer care covering prevention, screening, diagnosis, treatment, survivorship and end-of-life care services."
144,2022-08-06,"5/5
At a separate function at State House, Nairobi, President Kenyatta handed over title deeds to five East African countries that were allocated land at the Naivasha Special Economic Zone. The five countries were Burundi, Rwanda, DR Congo, Uganda and South Sudan."
145,2022-08-06,"4/5
During the brief ceremony at State House, Nairobi, President Kenyatta also received credentials from incoming ambassadors Sebastian Groth of Germany🇩🇪, Kamal Gubara Mohamed of the Sudan🇸🇩 and Bacha Debele Buta of Ethiopia🇪🇹."
146,2022-08-05,"3/4
During the occasion, President Kenyatta witnessed the signing of a Memorandum of Understanding between the National Treasury and the United Arab Emirates’ Khalifa Fund for Enterprise Development to support youth-owned enterprises in the country."
147,2022-08-04,"3/3
As part of today's launch, President Kenyatta witnessed the removal of Makupa Causeway, allowing the free flow of Indian Ocean waters across the new bridge and restoring Mombasa City's status as a true island."
148,2022-08-04,"5/5
At the same time, President Kenyatta congratulated Betty Chelangat and Reynold Cheruyiot for winning Kenya gold in women's 3000m and men's 1500m respectively at the ongoing World Under-20 Championships in Cali, Colombia."
149,2022-08-04,"2/5
The President termed Omanyala's global win of the 100m dash as a groundbreaking achievement for Kenya, an athletics powerhouse that's not renown for prowess in short races."
150,2022-08-01,"1/5
President Uhuru Kenyatta on Monday commissioned the Kshs 24 billion Karimenu II Dam in Gatundu North, Kiambu County, a Vision 2030 flagship project started in 2019 with joint funding from the Governments of Kenya🇰🇪 and China🇨🇳."
151,2022-07-30,"4/4
The message was delivered by President Lourenço's  special envoy, Amb. Téte António who is also the Minister of External Relations of Angola.

Read more:"
152,2022-07-30,"3/4
The President spoke on Saturday at State House, Nairobi, when he received a special message from the Angolan President."
153,2022-07-30,"2/4
President Kenyatta noted that President Lourenço has displayed exemplary leadership and commitment in his role as a mediator following his appointment by the African Union to mediate talks between DR Congo and Rwanda."
154,2022-07-30,"1/4
President Uhuru Kenyatta has commended Angolan President João Lourenço for his efforts towards the normalization of relations between Rwanda and DR Congo."
155,2022-07-22,"2/2
At the meeting held at the end of the 22nd Ordinary Summit of the East African Community (EAC) Heads of State Summit, the two leaders discussed an array of subjects of mutual interest to the People and Governments of  Kenya and Tanzania."
156,2022-07-22,"1/2
His Excellency President Uhuru Kenyatta on Friday evening held bilateral talks with his Tanzania counterpart Samia Suluhu Hassan in Arusha, Tanzania."
157,2022-07-22,"3/4
....admission process of Somalia🇸🇴 into the Community, and the inclusion of French and Kiswahili as official languages of the EAC alongside English."
158,2022-07-22,"1/4
President Uhuru Kenyatta is today, in Arusha, Tanzania🇹🇿, Chairing the 22nd Ordinary Summit of the East African Community (EAC) Heads of State during which he will relinquish the regional economic bloc's leadership to his Burundi counterpart Evariste Ndayishimiye."
159,2022-07-22,"2/4
Arusha Bypass, which is a segment of the Tanzanian section of the Arusha - Namanga - Athi River road that forms part of the 15,000km East African Road Network and the Trans African Highway from Cape Town to Cairo...."
160,2022-07-22,"1/4
President Uhuru Kenyatta on Friday morning joined regional counterpart Heads of State @SuluhuSamia🇹🇿, @KagutaMuseveni🇺🇬, @GeneralNeva🇧🇮 and Hassan Sheikh Mohamud (Somalia) at the official opening of the 42.4 kilometer East African Arusha Bypass road in Arusha town, Tanzania."
161,2022-07-21,"5/5
Also in attendance was President Hassan Sheikh Mohamud of the Federal Republic of Somalia who is a Special Guest at Friday's 22nd Summit of EAC Heads of State during which his country's application to join the bloc will be discussed."
162,2022-07-21,"4/5
South Sudan was represented at the high-level meeting that was held ahead of Friday's 22nd EAC Heads of State Summit by Dr Barnaba Marial Benjamin, the country's Minister for Presidential Affairs."
