,Date,Text
21,2023-01-30,"RUTO: PARLIAMENTARIANS MUST ENGAGE FOR DELIVERY OF THEIR MANDATE

Members of Parliament must routinely engage for effective discharge of their mandate.

President @WilliamsRuto said through debating, consulting and negotiating, the leaders can agree on how to move Kenya forward."
22,2023-01-30,"“We will deliver on our commitment to allocate adequate resources to enable agencies in the governance, justice, law, among others, to perform their functions effectively and efficiently.”"
23,2023-01-30,He explained that Kenya is committed to promoting an ideal environment for the revival of prosecutorial zeal.
24,2023-01-30,"“The stakes are [very] high; you must radically enhance your capacity to pursue and deliver environmental justice.” 

The President reminded the prosecutors that they are the custodians of the rule of law, and as such, they must be independent, fair and informed by the law."
25,2023-01-30,"In particular, he told the prosecutors — drawn from 43 countries — that there is the urgency with which they must approach offenses related to pollution."
26,2023-01-30,He was speaking on Monday in Mombasa County where he opened the Africa Prosecutors’ Association Conference.
27,2023-01-30,"He said technology has furthered terrorism, violent crimes and illicit trafficking of arms, which threaten the continent’s success.

“It is time to deliberate on strategies of ensuring that there are no safe havens for criminals in Africa,” he noted."
28,2023-01-30,"WE WILL PROMOTE ENVIRONMENT FOR REVIVAL OF PROSECUTORIAL ZEAL — RUTO

President @WilliamsRuto has said it is possible for Africa to have in place a mechanism that will detect and deter crimes."
29,2023-01-30,"National Assembly Post-Election Seminar, Mombasa County."
30,2023-01-30,"16th Annual General Meeting and Conference of Africa Prosecutors’ Association, Mombasa County."
31,2023-01-27,“This will pave way for productive use of land besides minimising disputes.”
32,2023-01-27,"“It will also create employment and improve the living standards of millions of underprivileged Kenyans,” he explained. 

Mr Sakaja called on the Government to intensify the issuance of title deeds to landowners in Nairobi as proof of ownership."
33,2023-01-27,"Deputy President @rigathi, Nairobi Governor @SakajaJohnson, Lands CS Zacharia Mwangi, Kamukunji MP @MPyusufhassan, among other leaders, were present.

Mr Gachagua said the affordable houses will restore the dignity of the people."
34,2023-01-27,"The Shauri Moyo Project will provide 3,248 housing units consisting of one, two and three-bedroom units with selling prices starting at Ksh 1.25 million."
35,2023-01-27,He made the remarks on Friday in Kamukunji during the ground-breaking ceremony for the proposed Shauri Moyo ‘A’ affordable housing project in Nairobi County.
36,2023-01-27,"“It is the responsibility of my Government to create inclusive and affordable housing for all,” he said."
37,2023-01-27,"President @WilliamsRuto said 39 counties have also agreed to work with the national Government in pursuing the project.

He said a minimum of 200,000 houses will be built every year, translating to at least 1,000,000 houses by 2027."
38,2023-01-27,"GOVERNMENT SECURES 3,900 ACRES FOR AFFORDABLE HOUSING 

At least 3,900 acres of land has been secured for the construction of affordable houses across the country."
39,2023-01-27,"Breaking ground for the Shauri Moyo Affordable Housing Project, Nairobi."
40,2023-01-27,"Groundbreaking for the proposed Shauri Moyo 'A' affordable housing project, Nairobi County."
41,2023-01-27,"“Our commitment to competitiveness, innovation, digitisation, automation and the digital economy requires a credible and legitimate facilitator to anchor investor confidence.”"
42,2023-01-27,He promised to support the Office of the Data Protection Commissioner to acquire the requisite  capacity to effectively perform its functions.
43,2023-01-27,"This, he added, will help achieve universal broadband connectivity in the country to enhance Government service delivery.

“ We are developing the Digital Master Plan and establishing a regional hub to promote the large-scale development of software for export.”"
44,2023-01-27,"The President noted that over the next five years, the Government will construct more than 100,000 kilometres of national fibre-optic network."
45,2023-01-27,"The government, he added, will partner with stakeholders to expand the space for creativity and innovation.

 “It is our intention to ensure that Kenya reaps its overdue dividends from the heavy investment in ICT infrastructure made over the last two decades.”"
46,2023-01-27,"For Kenya to realise the maximum potential of the Digital Superhighway, he explained, we must have a clear data management plan that is promotive of our agenda for the digital economy."
47,2023-01-27,He also officially launched the Data Protection Registration system.
48,2023-01-27,"“But we must also ensure that criminals do not hide under data protection or exploit it to perpetuate crime,” he said.
 
The President was speaking on Friday at the Kenyatta International Convention Centre during the observation of the International Data Privacy Day."
49,2023-01-27,"He said this will be achieved by ensuring that there is sufficient information for effective and efficient delivery of services. 

However, this will be pursued without compromising private data."
50,2023-01-27,"RUTO: WE WILL PURSUE DATA PROTECTION REGIME THAT IS PRO-TRANSFORMATION
 
President @WilliamsRuto has said the Government will pursue a data protection regime that serves public interest."
51,2023-01-27,"Data Privacy Conference, KICC, Nairobi County."
52,2023-01-26,"PRESIDENT RUTO OPENS FIRST KENYA EMBASSY IN FRENCH-SPEAKING WEST AFRICA 

The Government is enhancing its diplomatic ties with African States to unlock trade and investment opportunities for Kenyans."
53,2023-01-26,He explained that his Senegalese counterpart had committed to support the peace process in the Democratic Republic of Congo.
54,2023-01-26,"On his part, President Sall called on African countries to abolish visa requirements for Africans to ease the movement of people and factors of production.

President Ruto said Kenya and Senegal are exploring the possibility of a visa-free regime for citizens of the two countries"
55,2023-01-26,"President Ruto said the move will further Africa's agenda and consolidate its position at the United Nations.

""We must unite and amplify our voices at the global level,” he said."
56,2023-01-26,"President @WilliamsRuto and his Senegalese counterpart, President Macky Sall, said they will strive to take common positions on issues affecting the Continent.

The two leaders spoke on Thursday after holding talks at the Presidential Palace in Dakar."
57,2023-01-26,"KENYA, SENEGAL AGREE TO CHAMPION THE INTEGRATION OF AFRICA 

Kenya and Senegal have agreed to work together in championing for the integration of Africa."
58,2023-01-26,"The embassy, he added, will help ease services and be a link to the government of Senegal and the private sector."
59,2023-01-26,"The President noted that Africa will account for 25 per cent of the world population by 2050, a market Kenya must plan and strategise for.

Later, President Ruto met Kenyans living in Senegal."
60,2023-01-26,"At the same function, the President announced that Kenya will open an embassy in Rabat, Morocco, later in the year.

""We will continue to push the limits for our investors and businesspeople to access more markets in Africa,"" he said."
61,2023-01-26,"The Kenyan chancery in Senegal is the first in Francophone Africa and will serve the region. 

President Ruto was accompanied by Foreign Affairs Principal Secretary @SingoeiAKorir and Kenyan Ambassador to Senegal Purity Muhindi."
62,2023-01-26,"Speaking during the official opening of the Kenya Embassy in Dakar, Senegal, the President assured investors that the Government would support them to access investment opportunities across the continent."
63,2023-01-26,President @WilliamsRuto has said the Government is engaging other African governments to nurture mutually beneficial relations.
64,2023-01-26,"""This will provide an improved framework for trade and investment without unnecessary hurdles,"" President Ruto said."
65,2023-01-26,"The President expressed the need for all member countries of the East African Community (EAC), Southern Africa Development Community (SADC (and Common Markets for Eastern and Southern Africa (COMESA) to ratify the Tripartite Alliance which brings together the 3 regional blocs."
66,2023-01-26,President Ruto emphasized the importance of regional blocs in the facilitation of the movement of goods and people.
67,2023-01-26,"KENYA AND MOZAMBIQUE HAVE AGREED TO BOOST TRADE AND AGRICULTURAL TIES

President @WilliamsRuto and President Filipe Nyusi of Mozambique said the two countries will prioritize agricultural value addition, especially in the tea, sugar and coffee sectors."
68,2023-01-26,The two leaders stressed the need for African countries to trade more among themselves through the Africa Continental Free Trade Area.
69,2023-01-26,"The commitment was made at a meeting between President @WilliamsRuto and the Zimbabwean leader, H.E @edmnangagwa, in Dakar, Senegal."
70,2023-01-26,"Kenya and Zimbabwe have committed to enhance diplomatic ties anchored on expansion of trade, agriculture and investment."
71,2023-01-25,"""What Africa does with agriculture today will determine the future of food security in the world,"" he added. 

He said AfDB will invest the 10 billion USD in the next five years to support food production in Africa."
72,2023-01-25,African Development Bank President @akin_adesina called on African leaders to utilise aridable land to feed the continent and end the existing dependence on food imports.
73,2023-01-25,"“African should learn to feed itself and contribute to feeding the rest of the world,"" he said. “We need to allocate at least 10 per cent of our budget to agriculture."""
74,2023-01-25,"Senegal President said Macky Sall, the co-convener of the summit, said it was regrettable that Africa had become dependent on food imports despite its great agricultural potential. 

He called on African Governments and development partners to work together to reverse the trend."
75,2023-01-25,"Irrigation, the President explained, will assure Africa of enough food for consumption and export. 

""There is no magic to enhanced agricultural production; more fertiliser use translates to more production.”"
76,2023-01-25,"""Young people are also critical in the revival of our agriculture. Crucially, the greater the infusion of technology, the better the returns."" 

He warned against dependence on rain-fed agriculture saying many countries in Africa experience hunger due to this."
77,2023-01-25,"In a panel discussion of Heads of State and Governments, President Ruto said the upscaling of agriculture in the continent would require the right input, technology, enhanced irrigation and mechanisation."
78,2023-01-25,"""We should not be discussing about food shortage 60 years after independence."""
79,2023-01-25,"The Head of State noted that this will generate more income and create jobs, especially for the youth.

Speaking during the Dakar 2 Summit - Feed Africa in Senegal on Wednesday, President Ruto said these are the initiatives that will transform Africa."
80,2023-01-25,"VALUE ADDITION WILL FETCH AGRICULTURE MORE CASH

President @WilliamsRuto has challenged African leaders to take the discourse on agriculture beyond production to value addition and manufacturing. 

He said Africa has the potential to produce surplus food and process for export."
81,2023-01-24,"He said throughout his tenure, Prof Magoha exhibited an uncompromising integrity and a commitment to high standards in the public service.

“We have lost a gifted, unique, distinguished and great servant of Kenya.”"
82,2023-01-24,"“He excelled in learning, teaching and research, as well as in administration, where he led robust turnaround at the University of Nairobi and the Kenya National Examinations Council.”"
83,2023-01-24,"PRESIDENT RUTO DESCRIBES PROF MAGOHA AS A TOWERING FIGURE IN ACADEMIA 

President William Ruto has mourned Prof George Magoha as a “towering giant of our time”.

He said the former Cabinet Secretary was a great man who stood tall in the academy."
84,2023-01-24,"On the sidelines, Dr Ruto met senior representatives of the French Business Community where he pushed for increased trade and investment between the two countries."
85,2023-01-24,"“This has manifested through sustained cooperation in areas of trade, energy, health, water, infrastructure, agriculture, among others,” explained President Ruto who is in France for a one-day visit."
86,2023-01-24,They acknowledged that Kenya and France enjoy warm and cordial historical relations that continue to grow on an upward trajectory.
87,2023-01-24,"In a meeting between President @WilliamsRuto and @EmmanuelMacron at Elysee Palace in Paris on Tuesday, the two leaders admitted to further cooperation in peace and security in the East African region."
88,2023-01-24,"RUTO MEETS MACRON, AGREE TO ENHANCE BUSINESS OPPORTUNITIES

Kenya and France have agreed to enhance their cooperation in developmental projects

The two countries have further undertaken to diversify and harness existing business opportunities between them."
89,2023-01-23,"This translates to a Panel that will consist of one member each drawn from the Public Service Commission, Political Parties Liaison Committee and the Law Society of Kenya.

The Parliamentary Service Commission and the Inter-religious Council of Kenya will each have two members."
90,2023-01-23,"The signing means the allocation of the Parliamentary Service Commission will reduce from the current four to two out of the seven members of the Panel.

It further allows the Political Parties Liaison Committee to each nominate one member to the Panel."
91,2023-01-23,The Bill — which was considered and passed by the Senate last week — sought to alter the composition of the Selection Panel that oversees the filling of vacant positions in the Independent Electoral and Boundaries Commission.
92,2023-01-23,"PRESIDENT SIGNS THE INDEPENDENT ELECTORAL AND BOUNDARIES COMMISSION (AMENDMENT) BILL INTO LAW

President @WilliamsRuto has signed the Independent Electoral and Boundaries Commission (Amendment) Bill into law."
93,2023-01-21,"Installation of Rev. Henry Juma Odonya as Bishop of Kitale Catholic Diocese, Kitale Showground, Trans Nzoia County."
94,2023-01-19,"Mr Gachagua said the Government will keep launching development projects in every part of Kenya. 
“No area will be left behind in our quest to making our country more equal,” he said."
95,2023-01-19,"“Construction materials will be sourced locally, so will be labour because we want to engage our youth in gainful employment,” he said."
96,2023-01-19,"The President insisted that his administration was on course to delivering 200,000 affordable urban housing units annually."
97,2023-01-19,"Johana Ng’eno (Emurua Dikirr), Alice Ng’ang’a (Thika Town), John Njuguna (Kiambaa), Anne Wamuratha (Kiambu), James Wamacukuru (Kabete) and Elijah Kururia (Gatundu North) were also there."
98,2023-01-19,"Present were Deputy President @rigathi, CSs Zachariah Njeru, @HonMoses_Kuria, Kiambu Governor @KWamatangi, MPs Simon Kingara (Ruiru), Gathoni Wamuchomba (Githunguri) and Gitonga Mukunji (Manyatta)."
99,2023-01-19,"The President was speaking on Thursday during laying of the foundation stone of the Ruiru Affordable Housing Project, Kings Boma Estate in Kiambu County."
100,2023-01-19,"“National and County Governments must work together to confront this [serious] problem.”

He said it is time alcohol is sold to designated areas only."
101,2023-01-19,"PRESIDENT RUTO: WE MUST RUTHLESSLY TACKLE ALCOHOL ABUSE

President @WilliamsRuto has said the country must tackle alcoholism.

He said many lives were being lost and destroyed as a result of alcohol abuse."
102,2023-01-19,"He challenged the women leaders to be at the centre in promoting local manufacturers while acquiring the sanitary towels. 

“I also urge you to step up and help in the fight against teenage pregnancies and female genital mutilation."""
103,2023-01-19,"The President made the remarks on Thursday at State House, Nairobi, when he hosted Woman Representatives drawn from all the 47 counties."
104,2023-01-19,"President @WilliamsRuto said the enhancement of the funds will help address the plight of the vulnerable.

He explained that the increment will also provide an avenue for the promotion of enterprises and value addition initiatives."
105,2023-01-19,"AFFIRMATIVE ACTION FUND TO BE INCREASED BY SH1 BILLION — PRESIDENT RUTO

The National Government Affirmative Action Fund (NGAAF) will be increased by Sh1 billion to Sh3 billion in the next financial year."
106,2023-01-19,"Commissioning of Affordable Housing Project, Ruiru, Kiambu County."
107,2023-01-19,"Commissioning of Affordable Housing Project, Ruiru, Kiambu County."
108,2023-01-19,"The President expressed Kenya's support for the Agency.

He said AUDA, under the New Partnership for African Development, should work with other formations for faster implementation of the continent's Vision 2063."
109,2023-01-19,"""These are Africa's greatest resource; we must be particular about their education and training,"" President Ruto said.

He was speaking on Thursday at State House, Nairobi, when he held talks with the Africa Union Development Agency (AUDA-NEPAD) CEO @nardosbthomas."
110,2023-01-19,"The President explained that for Africa to make the necessary transformational strides, the youth — who have requisite drive, energy and skills — must be fully involved."
111,2023-01-19,"PRESIDENT RUTO: AFRICA MUST TAKE CHARGE OF ITS DEVELOPMENT 

President @WilliamsRuto has said Africa must take charge of its development.

He said the Continent’s leadership must find ways of implementing Vision 2063 and fund it as much as possible."
112,2023-01-18,"The High Commissioner said Canada will continue working with Kenya on areas of mutual interest.

He thanked the President for the role Kenya is playing in conflict resolution in the Horn of Africa."
113,2023-01-18,"He spoke on Wednesday at State House, Nairobi, during a courtesy call by Canadian High Commissioner Christopher Thornley."
114,2023-01-18,"He called for more Canadian private sector participation through public-private partnerships.

""The Blue Economy exploits stand at Sh12 billion but can increase to between Sh120 billion and Sh180 billion,” the President said."
115,2023-01-18,"CANADA IS OUR PARTNER IN BLUE ECONOMY

President @WilliamsRuto has commended the Canadian Government for its support in the Blue Economy.

He said the exploitation of the sector’s resources is a key plank of the Bottom Up Economic Transformational Agenda (BETA)."
116,2023-01-17,"Present were Deputy President @rigathi, Prime Cabinet Secretary @MusaliaMudavadi, Attorney General @HonJBMuturi, National Assembly Speaker @HonWetangula, Senate Speaker @governorkingi, among other leaders."
117,2023-01-17,The meeting was aimed at inaugurating a collaborative plan between the Executive and Commissions and Independent Offices towards the full implementation of the Constitution.
118,2023-01-17,"He was speaking on Tuesday during a meeting with Constitutional Commissions and Independent Offices at the State House, Nairobi."
119,2023-01-17,"The President cited IEBC Chairman @WChebukati and the experience of the August polls. 
 
""That is what integrity looks like when working for the people of Kenya; standing with the Constitution, braving pressure and resisting threats."""
120,2023-01-17,"""The promise of our Constitution is partly dependent on the integrity and vigilance of Commissions and independent offices. They are the auditors of the auditors; they watch over the watchmen.”"
121,2023-01-17,"The institutions, he said, are essential to Kenya's democracy and their leadership is critical factor in their success."
122,2023-01-17,"PRESIDENT RUTO: CHEBUKATI AN EXAMPLE  OF INTEGRITY AT WORK

President @WilliamsRuto has said Constitutional Commissions and Independent offices are integral to the prosperity and stability of Kenya."
123,2023-01-17,"Engagement with Constitutional Commissions and Independent Offices, State House, Nairobi."
124,2023-01-15,Mr Gachagua said the Government will eliminate cartels which were fleecing farmers.
125,2023-01-15,"The President was accompanied by Deputy President Rigathi Gachagua, Prime Cabinet Secretary Musalia Mudavadi, National Assembly Speaker Moses Wetang’ula, Governors Hillary Barchok (Bomet), Eric Mutai (Kericho), several MPs and MCAs."
126,2023-01-15,"“We will ensure this country steps into the strides that move us forward.”

He said the ongoing collection of data from farmers will inform the Government on the right moves to make to produce more food.

“We want to eliminate the shame of hunger in our country.”"
127,2023-01-15,"The President explained that it is possible to move Kenya forward if leaders are united and committed to their work.

He was speaking on Sunday at the Bomet Green Stadium in Bomet County during an interdenominational prayer service."
128,2023-01-15,“We must transform the lives of the people; it is our primary responsibility.”
129,2023-01-15,"RUTO TO LEADERS: GET TO WORK AND SERVE KENYANS

President @WilliamsRuto has asked leaders to be vigilant and serve the people.

He said Kenyans had delivered on their part of the bargain and it is now “our opportunity to discharge our part of the election contract”."
130,2023-01-14,"Present were Deputy President @rigathi, Governor James Orengo, Deputy Governor William Oduol, Senator Oburu Odinga, MPs Elisha Odhiambo (Gem), Sam Atandi (Alego), Christine Ombaka (Woman Rep.) and Gideon Ochanda (Bondo)."
131,2023-01-14,"""The Blue Economy has emerged as a frontier of immense opportunity with the potential to contribute greatly to sustainable development,"" he said. 

""We shall be looking to the huh for practical solutions to a diverse range of issues and challenges."""
132,2023-01-14,The President was speaking at Jaramogi Oginga Odinga University of Science and Technology (JOOUST) where he commissioned the institution's Blue Economy Research Hub.
133,2023-01-14,"The President said innovation will help Kenya develop a knowledge based economy with opportunities for Kenyan youth. 

""Our labor market shows great demand for the type of specialized competencies required by a modern, globally competitive economy."""
134,2023-01-14,"""Kenya's institutions must offer leadership in the search for solutions to humanity's most urgent needs like poverty, inequality clean energy, climate change, hunger and disease,"" he said."
135,2023-01-14,The President said innovation and technological development will enhance Kenya's competitiveness in the global economy.
136,2023-01-14,"UNIVERSITIES MUST DEPLOY RESEARCH AND INNOVATION TO DEAL WITH CHALLENGES OF OUR TIME

President @WilliamsRuto has challenged Kenyan universities to engage in research and innovation that develop solutions to urgent challenges facing Africa and the world."
137,2023-01-13,"President Ruto committed to work with all leaders, irrespective of their political affiliation, to transform Kenya.

Governor Wanga said she will continue working with the Government “to move Homa Bay County forward”."
138,2023-01-13,"Present were Deputy President @rigathi, Homa Bay Governor @gladyswanga , Migori Governor Ochilo Ayacko, Senator Moses Kajwang’, @Milliegeza (Suba North), John Mbadi (Nominated), Caroli Omondi (Suba South), Joyce Atieno “Bensuda” (Woman Rep.), Lilian Gogo (Rangwe), among others."
139,2023-01-13,"Earlier, the President met the Homa Bay County leadership at the Tom Mboya University that presented the region’s development plan to him."
140,2023-01-13,"The President was speaking on Friday during the opening of the Homa Bay Municipal Market in Homa Bay Town.

“Fishing has a huge potential that must be exploited. When we add value, we will earn more and generate more jobs for the youth.”"
141,2023-01-13,"He said the Government will also add value to allow farmers earn more from the economic activity. 

The Government will allocate Sh600 Million to help in the processing of fish in Homa Bay."
142,2023-01-13,"WE WILL ADD VALUE TO FISHING FOR FARMERS TO EARN MORE— PRESIDENT RUTO

President @WilliamsRuto has said fish farming in Nyanza will be funded and expanded to support more livelihoods."
143,2023-01-13,"Launch of Affordable Housing in Homa Bay Town, Homa Bay County."
144,2023-01-13,"Commissioning of the Homa Bay Municipal Market, Homa Bay County."
145,2023-01-12,"""We do not want matters of security to be an exclusive affair of the police; we want all citizens to be involved in security matters of their locality,” he added. 

He asked those in the Police Service to steer clear of politics and instead focus on serving Kenyans."
146,2023-01-12,"At the same time, the President said the government will operationalise County Policing Authority to enable County and National Governments to work together to confront insecurity in the country."
147,2023-01-12,"Present were Interior Cabinet Secretary @KindikiKithure, Inspector General of the National Police Service Japhet Koome and Nairobi Governor @SakajaJohnson ."
148,2023-01-12,"The President made the remarks on Thursday during the 49th passing out parade for more than 900 General Service Unit officers in Embakasi, Nairobi County."
149,2023-01-12,"The President asked the Inspector General of Police not to allow crooks in the procurement chain to squander the funds. 

""We will not allow funds allocated to the security sector to be abused by brokers,” he said."
150,2023-01-12,He said the resources should be used to equip police officers with modern equipment to efficiently combat the ever evolving and sophisticated crimes in the country.
151,2023-01-12,"PRESIDENT RUTO: POLICE WILL BE ADEQUATELY FUNDED TO SECURE THE COUNTRY

The National Police Service will be adequately resourced to enhance its capacity to work.

President William Ruto asked the service to utilise its funds prudently to secure Kenyans and their property."
152,2023-01-12,"General Service Unit Passing out Parade, Embakasi, Nairobi County."
153,2023-01-12,"General Service Unit Passing out Parade, Embakasi, Nairobi County."
154,2023-01-12,"General Service Unit Passing out Parade, Embakasi, Nairobi County."
155,2023-01-12,"General Service Unit Passing out Parade, Embakasi, Nairobi County."
156,2023-01-12,"General Service Unit Passing out Parade, Embakasi, Nairobi County."
157,2023-01-11,“We will seize every opportunity to restore stability in the region through peacekeeping deployments and robust diplomatic efforts.”
158,2023-01-11,"The President made the remarks on Wednesday during the pass-out parade for the recruits at the National Police College in Embakasi, Nairobi County.

Kenya, he added will not relent in its quest for a stable, peaceful and prosperous Horn of Africa."
159,2023-01-11,"“Without autonomy, the service is vulnerable to weaponisation, making it a threat to our security.”
 
The President explained that the police-to-citizen ratio will also be escalated to “responsively and effectively” combat crime."
160,2023-01-11,"President @WilliamsRuto said the police will be transformed into a more professional and autonomous service.

He noted that the service will be cushioned against political and bureaucratic manipulations."
161,2023-01-11,"WE WILL HAVE PEOPLE-CENTRED, SERVICE-ORIENTED POLICE TO COMBAT CRIME — PRESIDENT RUTO

The Government will deliver security in the country without sacrificing fundamental rights."
162,2023-01-11,"Administration Police Passing out Parade, Embakasi, Nairobi County."
163,2023-01-10,"3. A peaceful and secure Sudan is critical for the prosperity and stability of the Horn of Africa and the African continent at large. As a fellow IGAD Member State, Kenya will, as always seize every opportunity available to support our brothers and sisters in the Sudan."
164,2023-01-10,"...which are already ongoing in Khartoum, exploring solutions to outstanding issues such as Security Sector Reforms and decisions on the future political system of the Country."
165,2023-01-10,"2.  It is in this regard that Kenya welcomes such broad-based Consultations between the Signatories to the Framework Agreement,..."
166,2023-01-10,The Agreement sets out a foundation for broad-based consultations between the signatories on important actions that will ensure a successful transition and usher in stability for the Sudan.
167,2023-01-10,"1.  Kenya fully supports the Political Framework Agreement signed on December 5, 2022 between the Transitional Sovereignty Council and the civilian political actors in the sisterly Republic of the Sudan, reaffirming a strong commitment to peaceful future of their country."
168,2023-01-10,"STATEMENT BY H.E WILLIAM RUTO, PHD, C.G.H, PRESIDENT OF THE REPUBLIC OF KENYA AND THE COMMANDER-IN-CHIEF OF THE DEFENCE FORCES ON THE ON-GOING BROAD-BASED CONSULTATIONS BETWEEN SUDANESE SIGNATORIES ON THE OUTSTANDING ISSUES CONNECTED WITH THE POLITICAL FRAMEWORK AGREEMENT"
169,2023-01-10,"""We have established the Police and Prisons Services Reforms Task Force to look into a broad range of issues for the purpose of improving service delivery.”"
170,2023-01-10,"""On my first day in office I executed an instrument granting the National Police Service  financial autonomy and independence to maintain efficiency and professionalism.”

The President also reiterated the government’s commitment to police reforms."
171,2023-01-10,"The President was speaking during the passing out parade for 2,881 officers at Kiganjo Police College, Nyeri County.

The President said the government had already lived up to some of the promises it had made to the police force."
172,2023-01-10,...the government is enhancing its investment in the National Forensic Laboratory to ensure that it has the necessary modern equipment and facilities to conclude complex investigations and significantly improve the success rate in supporting the prosecution of criminals.”
173,2023-01-10,"""To optimize the crime-solving capabilities of a modern, professional and efficient police service,..."
174,2023-01-10,"""Kenya is ready for a new policing paradigm. On behalf of the people of Kenya, I assure you of our commitment to deliver on our commitments to you,"" the President said."
175,2023-01-10,"The President said Kenya needs a modern, professional and efficient police service to protect the lives and property of Kenyans."
176,2023-01-10,"PRESIDENT RUTO: WE WILL DELIVER A NEW POLICING PARADIGM

President @WilliamsRuto has said the government will deliver the investment necessary to deliver a new policing paradigm in the country."
177,2023-01-10,"Police Constables pass out parade, Kiganjo, Nyeri County."
178,2023-01-10,"Police Constables pass out parade, Kiganjo, Nyeri County."
179,2023-01-10,"Police Constables pass out parade, Kiganjo, Nyeri County."
180,2023-01-10,"Police Constables pass out parade, Kiganjo, Nyeri County."
181,2023-01-10,"Police Constables pass out parade, Kiganjo, Nyeri County."
182,2023-01-10,"Police Constables pass out parade, Kiganjo, Nyeri County."
183,2023-01-09,"The Ministry of Health will have two State Departments-Medical Services and Professional Standards, each with a principal secretary.

Three state departments-Investments Promotion, Trade and Industry are in the  

Ministry of Investments, Trade and Industry."
184,2023-01-09,"In the rest of the changes, The President has tasked Deputy President @rigathi with driving reforms in the coffee sector, in addition to his previous duties.

Prime Cabinet Secretary @MusaliaMudavadi will oversee the delivery of Government services."
185,2023-01-09,"The new department will sit in the Ministry of Environment. 

The change is contained in a new Executive Order issued on Monday.  The Ministry will also house the department for Forestry."
186,2023-01-09,"PRESIDENT RUTO CREATES CLIMATE CHANGE DEPARTMENT

President @WilliamsRuto has created a State Department for Environment and Climate Change to underline the government’s commitment to protecting Kenya from the adverse effects of global warming."
187,2023-01-07,"Present were Cabinet Secretaries, Council of Governors, Principal Secretaries, House Leadership, among others.

The President further noted that he will continue working with Governors in accordance with the Constitution."
188,2023-01-07,"Council of Governors Chairperson Anne Waiguru noted that there are no issues between the two levels of governments.

“We are focussed on the implementation of development projects and the delivery of services to wananchi,” she explained."
189,2023-01-07,"Deputy President Rigathi Gachagua said National and County Governments must work closely to serve the people better.

“It is in our unity that we can effectively transform our country,” he said."
190,2023-01-07,He said CSs will be allowed to prosecute government agenda on the Floor of the House as part of the Administration’s plan to make the oversight role of Parliament “real and effective”.
