Date,Text,Label,Country
3/15/2022,"1/2  CS Amb. Raychelle Omamo met with the Minister for Trade, Industry &amp; Investment of Oman, H.E. Qais Al Yousef.  They  underscored Kenya’s readiness to work with Oman to improve Market Access of Kenya’s Agricultural fresh produce,  flowers, tea, coffee, fruits  ...",Away,
3/15/2022,"1/3 CS @ForeignOfficeKE Amb. Raychelle Omamo held extensive consultations with her host the Foreign Minister  of the Sultanate of Oman
H.E. Sayyid Badr Albusaidi.
The meeting focused on reinvigorating the strong bilateral relations that exists between Kenya and Oman",Away,
3/13/2022,1/3 CS Amb. Raychelle Omamo held bilateral talks with her Saudi Arabian counterpart His Highness Prince Faisal bin Farhan Al Saud in Riyadh today. Discussions focused on bilateral issues of mutual benefits between Kenya and Saudi Arabia.,Away,
3/13/2022,"CS Amb. Raychelle Omamo paid a courtesy call on H.E. Dr. Majid Bin Abdullah Alkassabi, Minister of Commerce &amp; Investment of the Kingdom of Saudi Arabia. They discussed ways of strengthening bilateral relations, enhancing trade &amp; investments &amp; other potential areas of cooperation.",Away,
3/13/2022,"Amb. Raychelle Omamo, CS @ForeignOfficeKE held a bilateral meeting with Dr. Abdullah Nasser Abuthnain, Vice Minister of Human Resource and Social Development for Labour in Riyadh.  Discussions focused on labour and consular matters between Kenya and Saudi Arabia.",Away,
3/12/2022,2/2 The Cabinet Secretary is in Riyadh for the Kenya - Saudi Arabia Joint Commission for Cooperation (JCC) with her Saudi Arabian counterpart.,Away,
3/12/2022,"1/2 CS Amb. Raychelle Omamo arrived at the Khalid Int'l Airport Saudi Arabia today. She was received by the Chief of Protocol, Ministry of Foreign Affairs, Kenya's Ambassador to Saudi Arabia Amb. Peter N. R. O. Ogego and Ambassador of Saudi Arabia to Kenya Amb. Khalid Al-Salmani",Away,
3/8/2022,"H.E Dr. Emmerson Mnangangwa, President of the Republic of  Zimbabwe, has  arrived in Nairobi for a three-day State visit. He was received at #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo, CS Eugene Wamalwa, Amb Stella Munyi HC to Zimbabwe and Amb George Orina.",Receive,
3/7/2022,"Foreign Affairs CS Amb. Raychelle Omamo today met with  Hon. Fredrick M. Shava, Minister of Foreign Affairs and International Trade of the Republic of Zimbabwe.  The two leaders discussed ways of strengthening bilateral relations and identified areas of further cooperation.",Receive,
1/26/2022,"Foreign Affairs P.S Amb.Macharia Kamau held talks with H.E. Muhammad Shahrul Ikram Yaakob,Secretary-General, Ministry of Foreign Affairs of Malaysia.The two discussed trade and development, education, tourism and culture as areas to further enhance ties between Kenya and Malaysia",Receive,
1/20/2022,Hungary President H.E János Áder has today left the country after a four day State Visit. He was seen off at #JKIA by Cabinet Secretary for ICT Joseph Mucheru and PS Ministry of Foreign Affairs @AmbMKamau and other ministry officials.,Receive,
1/18/2022,"CS @ForeignOfficeKE Amb. Raychelle Omamo met with Hon. Vicky Ford, MP, Minister for Africa (Deputy Minister) in the Foreign, Commonwealth and Development Office of the United Kingdom. They discussed bilateral cooperation on trade and investments, peace and security",Receive,
1/5/2022,"1/3 H.E. Wang Yi, State Councillor and Minister for Foreign Affairs of the People’s Republic of China arrives in Kenya to begin a two-day official visit.  He is received at Mombasa International Airport by @ForeignOfficeKE   CS Amb. Raychelle Omamo",Receive,
12/6/2021,"H.E Mr. Damptey Bediako Asare, High Commissioner of the Republic of Ghana paid a courtesy call on Foreign Affairs C.S Amb. Raychelle Omamo. The meeting underscored the cordial relationship that exists between Kenya and Ghana, and the need to have more bilateral engagements.",Receive,
12/6/2021,"Mr. Yusuf Yunusa, High Commissioner of the Federal Republic of Nigeria paid a courtesy call on Foreign Affairs Cabinet Secretary Amb. Raychelle Omamo. The two discussed bilateral relations and deliberated on more areas of cooperation between Kenya and Nigeria.",Receive,
11/23/2021,CS Amb Raychelle Omamo this morning accompanied H.E President Uhuru Kenyatta at the Union Buildings for bilateral talks and signing of MOUs between Kenya and South Africa. President Uhuru is on a State Visit at the invitation of H.E President Cyril Ramaphosa.,Away,
11/21/2021,"CS Amb Raychelle Omamo held bilateral talks with H.E. Veronica Nataniel Macamo Dlhovo, Foreign Minister of Mozambique. They discussed the need to strengthen bilateral relations btwn Kenya and Mozambique through people to people exchanges and the advancement of trade &amp; investment.",Away,
11/18/2021,"US Secretary of State Antony Blinken has left the country today for his next leg of visits to Nigeria and Senegal. Blinken was seen off at the #JKIA by Foreign Affairs PS @AmbMKamau, the Kenya's Amb to US, Amb Lazarus Amayo,&amp; officials from @ForeignOfficeKE and @USEmbassyKenya.",Receive,
11/17/2021,Cabinet Secretary for Foreign Affairs Ambassador Raychelle Omamo and U.S. Secretary of State Antony J. Blinken discussed strengthening the strategic partnership across five pillars and advancing peace and prosperity in Africa and the western Indian Ocean region...,Receive,
10/29/2021,"Foreign Affairs CS Amb. Raychelle Omamo, today met with Mr. Denis Moncada Colindres, Minister of Foreign Affairs of the Republic of Nicaragua. The two discussed bilateral trade and investments, and signed bilateral instruments of cooperation and an MOU on political cooperation.",Away,
10/21/2021,"H.E Lazurus Chakwera, President of the Republic of Malawi, 5his afternoon presided over the Kenya - Malawi Business Forum themed, ''Malawi, A haven of Investments and Trade opportunities."" Present were Trade C.S Betty Maina, and ICT C.S Joe Mucheru.",Away,
10/16/2021,"1/  PS @AmbMKamau addressed the Arria Formula meeting on Haiti on the theme ""Beyond the Inconvenient Truths About Under-Development in Haiti :Seeking Pan-AFrican Solutions/Pathways and Supporting National Dialogue and Reconciliation""
#KenyainUNSC
#KenyaASafePairofHandsforAfrica",Away,
10/16/2021,"1/3 @AmbMKamau today in New York hosted a special Blue Economy Side Event co-sponsored by Kenya, Canada, Japan and Portugal, on the sidelines of Kenya’s  Presidency of the UN Security Council for the month of October.",Away,
10/4/2021,Cabinet Secretary Amb Raychelle Omamo arrives in Barbados ahead of H.E President Uhuru Kenyatta visit to the country. President Kenyatta will attend the 15th session of UNCTAD and hand over chairmanship of UNCTAD to the PM of Barbados H.E Mia Mottley followed by a State visit.,Away,
9/30/2021,"P.S @ForeignOfficeKE Amb. Macharia Kamau held talks with H.E Dr. Alastair McPhail, British Ambassador to Ethiopia, and Ms. Jane Marriott, British High Commissioner to Kenya. They discussed Kenya - United Kingdom relations. 
@JaneMarriottUK @AmbMKamau
#KenyaUKrelations",Away,
9/25/2021,"CS Amb Raychelle Omamo met Félix Plasencia, Minister of People's Power for Foreign Affairs of Venezuela. They affirmed the role of multilateralism in solving global challenges including the covid 19 pandemic;committed to reinvigorating existing bilateral ties/ MoU in oil and gas.",Away,
9/21/2021,"Foreign Affairs P.S Amb Macharia Kamau today held talks with H.E. Mr. Martin Tlapa, Deputy Minister, Foreign Affairs of Czech Republic. The two discussed on bilateral and multilateral areas of cooperation, and highlighted areas of further cooperation for the two countries.",Receive,
9/21/2021,"Foreign Affairs P.S Amb. Macharia Kamau today held bilateral talks with Ms. Clementine Mukeka, Permanent Secretary Ministry of Foreign Affairs and International cooperation of the Republic of Rwanda. They discussed strengthening bilateral relations,  trade and investments.",Receive,
9/12/2021,"Her Excellency Kersti Kaljulaid, President of the Republic of Estonia left the country on Saturday night after a successful visit to Kenya. @KerstiKaljulaid was seen off #JKIA by Foreign Affairs CS Amb Raychelle Omamo and, CS Defense Amb Monica Juma, her Escort of honour.",Receive,
9/11/2021,Her Excellency @KerstiKaljulaid President of the Republic of #Estonia today afternoon visited the Elephant Sanctuary in Karen and the Kenya Red Cross offices as  her four days Official Visit to Kenya comes to an end.,Receive,
9/11/2021,"Her Excellency Kersti Kaljulaid, President of the Republic of Estonia who is on an Official Visit to Kenya,this afternoon visited the Michuki Park for a tree planting exercise. H.E was received by Environment and Forestry C.S Keriako Tobiko and Nairobi Acting Governor Ann Kananu.",Receive,
9/11/2021,"H.E Kersti Kaljulaid, President of the Republic of Estonia this morning run a 10KM Marathon at the Karura Forest. She was accompanied by Kenyan marathoners including Douglas Wakiihuri,Tegla Loroupe, and Catherine Ndereba. The race was flagged off by Sports CS Amb Amina Mohamed.",Receive,
9/10/2021,"Her Excellency Kersti Kaljulaid, President of the Republic of Estonia  addressed the Kenya-Estonia Business Forum focusing on ICT and e-solutions to sustainable development in education, health, energy, petroleum and mining.",Receive,
9/9/2021,"Cabinet Secretary @ForeignOfficeKE Amb. Raychelle Omamo this morning met with H.E Eva-Maria Liimets, Minister of Foreign Affairs of the Republic of Estonia. The two discussed areas of cooperation in the field of information technology and Investment.",Receive,
9/9/2021,"Her Excellency Kersti Kaljulaid, President of the Republic of Estonia, is expected to hold high level bilateral consultations with President Uhuru Kenyatta Thursday.  H.E is scheduled for meetings with CEO of Safaricom and Bolt, and the European union delegation this morning.",Receive,
9/9/2021,"The President of the Republic of Estonia, Her Excellency Kersti Kaljulaid, has arrived in Kenya for an official Visit. Her Excellency was received at the #JKIA by Foreign Affairs cabinet Secretary Amb. Raychelle Omamo and Cabinet Secretary for Defense Dr. Monica Juma.",Receive,
9/8/2021,"Foreign Affairs Cabinet Secretary Amb. Raychelle Omamo today met with Hon. M.s Mamadi Gobeh Kamara, deputy minister, ministry of Foreign Affairs and International Cooperation of the Republic of Sierra Leone. The two discussed bilateral relations and areas of further cooperation.",Receive,
9/2/2021,"Cabinet Secretary, Ministry of Foreign Affairs, Amb. Raychelle Omamo today made an official visit to Ethiopia and held extensive talks with the Deputy Prime Minister and Minister of Foreign Affairs of the Federal Democratic Republic of Ethiopia Hon. Demeke Mekonnen.",Away,
9/2/2021,"P.S Amb. Macharia Kamau met with Mr Vincent Waiswa, Permanent Secretary in the Ministry of Foreign Affairs of the Republic of Uganda where they engaged on bilateral and regional areas of cooperation touching on social, economic and infrastructure development for the two countries",Away,
8/25/2021,"Tanzanian Minister of Foreign Affairs and East African  Cooperation, Hon Liberata Mulamula during her visit to Kenya, held discussions with young female officers from @ForeignOfficeKE as part of the #AziziDialogue mentorship program initiative by CS Amb.Raychelle Omamo last year.",Receive,
8/24/2021,1. Visiting Minister for Foreign Affairs and East African Cooperation of The United Republic of TanzaniaTanzania Amb. Liberata Mulamula  yesterday gave a lecture at National Defence College to 62 participants from 15 nationalities attending a leadership course.,Receive,
8/23/2021,Foreign Affairs C.S Amb Raychelle Omamo this morning held bilateral talks with her counterpart Amb. Liberata Mulamula Minister of Foreign Affairs and East African Cooperation of Tanzania who is on two day official visit to Kenya.,Receive,
8/23/2021,The 4th Joint Commission for Cooperation (JCC) between Kenya and Tanzania is ongoing in Nairobi. The meeting today is co- chaired by PS Amb Joseph E. Sokoine of Tanzania and PS Amb macharia Kamau. They received a report of the discussions by senior officials of both countries.,Receive,
8/22/2021,"Amb. Liberata Mulamula is on a two-day official visit aimed at  further strengthening the relations between Kenya and Tanzania. She will hold bilateral talks with CS Amb.Raychelle Omamo and jointly attend the Kenya and Tanzania JCC, before signing the MoUs and agreed minutes.",Receive,
8/22/2021,"Amb.Liberata Mulamula
Minister for Foreign Affairs and East African Cooperation of The
United Republic of Tanzania has this evening arrived in Kenya for the 4th Joint Commission for Cooperation  between 🇰🇪 and🇹🇿. She was received by @ForeignOfficeKE CS Amb Raychelle Omamo.",Receive,
8/19/2021,"Amb. Raychelle Omamo, Cabinet Secretary, for Foreign Affairs of the Republic of Kenya hosted H.E Amb. Téte António, and noted with appreciation the historical visit, the first official visit to Kenya by a Minister for External Relations of the Republic of Angola.",Receive,
8/19/2021,"H.E Amb. Téte António, Minister for External Relations of the Republic of Angola made an official one-day visit to Kenya and delivered a written message from H.E. João Manuel Gonçalves Lourenço, President of the Republic of Angola to H.E. President Uhuru Muigai Kenyatta.",Receive,
8/10/2021,CAS Hon @AbabuNamwamba this evening received South African Minister of International Relations Dr Naledi Pandor at JKIA. Dr. Pandor is in Kenya for bilateral talks with her host Amb.Raychelle Omamo and later participate in the inaugural 🇰🇪 - 🇿🇦Joint Commission for Cooperation,Receive,
8/10/2021,"Prime Minister of the Federal Republic of Somalia Hon. Mohammed Hussein Roble, has arrived in Kenya for an official visit to further strengthen bilateral relations. H.E was received on arrival by Foreign Affairs CS Amb Raychelle Omamo.",Receive,
8/8/2021,"CS Amb Raychelle Omamo was granted an audience with H.E President Mohammed Abdullahi Mohammed Farmajo, during which she conveyed warm greetings and a message of goodwill from H.E. Uhuru Kenyatta, to H.E. President Farmajo, and through him to the Government and People of Somalia.",Away,
8/8/2021,"CS Amb Raychelle Omamo today met her counterpart the Foreign Minister of the Federal Republic of Somalia Mohamed Abdirizak in Mogadishu. The two expressed mutual commitment to regional stability; principles of democracy, and fostering human and economic contact across borders.",Away,
7/23/2021,1. Foreign Affairs C.S Amb Raychelle Omamo together with Treasury C.S Amb Ukur Yattani today in Mombasa held talks with the visiting Foreign Affairs Minister of the Republic of Ireland Simon Coveney.,Receive,
7/21/2021,"Foreign Affairs CAS @AbabuNamwamba today at JKIA received Hon Simon Coveney, Minister for Foreign Affairs and Defence of Ireland who is in Kenya for bilateral engagements. He is expected to hold talks with CS Amb. Raychelle Omamo and later meet H.E. President Uhuru Kenyatta.",Receive,
7/19/2021,"CAS Hon @AbabuNamwamba today held talks with Ms. Saqlain Syedah, the HC of the Islamic Republic of Pakistan. They discussed bilateral relations between Kenya and Pakistan and underscored the importance of collaboration in key sectors such as in Trade and Infrastructure.",Receive,
7/17/2021,"CS @ForeignOfficeKE Amb Raychelle Omamo paid a courtesy visit to Amina J. Mohammed, Deputy Secretary General #UNSC on the occasion of her visit to New York to attend the United Nations Security Council High-Level briefing on the United Nations Support Mission in Libya (UNSMIL)",Away,
7/17/2021,"Cabinet Secretary, Amb. Raychelle Omamo held talks with United States Secretary of State, Hon Antony Blinken at the State Department. They discussed Strategic Partnership and bilateral relations &amp; exchanged views on access to vaccines and post COVID-19 economic recovery progams.",Away,
7/16/2021,"The Cabinet Secretary Amb Raychelle Omamo paid a courtesy call on H.E Abdul Hamid Dbeibeh, Prime Minister of Libya on the occasion of her visit to New York to attend the United Nations Security Council High-Level briefing on the United Nations Support Mission in Libya (UNSMIL)1/2",Away,
7/14/2021,"2/2 PS said this when he hosted Ms. Donna Forde, Deputy PS, Foreign Affairs and Foreign Trade of Barbados who is in Kenya for preparatory process in readness for the opening of the Embassy. PS Kamau and Ms Forde also reviewed progress of MOU signed during the high level visits.",Receive,
7/9/2021,"1/3 CS Amb. Raychelle Omamo today made a one-day official visit to the United Republic of Tanzania and held consultations with Amb. Liberata Mulamula, Tanzania's Foreign Affairs Minister on bilateral and regional issues of mutual interest to Kenya and Tanzania",Away,
7/9/2021,"Happening now :  CS @ForeignOfficeKE
Amb. Raychelle Omamo in a meeting with her Tanzanian counterpart Hon. Amb. Liberata Mulamula, at the Julius Nyerere International Convention Centre, Tanzania",Away,
6/30/2021,"1/2 CS @ForeignOfficeKE Amb. Raychelle Omamo undertook a two-day working visit to Italy during which she held a bilateral meeting with her host, Foreign Minister, Luigi Di Maio.",Away,
6/25/2021,"C.A.S @ForeignOfficeKE Hon. @AbabuNamwamba held discussions with Mr. Pawel Jablovski, Poland's undersecretary of State for Economic and Development Cooperation, for Africa and Middle East. They discussed areas of cooperation and enhancing bilateral ties.",Receive,
6/25/2021,"C.A.S @ForeignOfficeKE Hon @AbabuNamwamba met with the Head of Mission, Embassy of the Republic of Portugal, Luisa Fragoso.  They discussed bilateral and multilateral issues of mutual interests to both countries.",Receive,
6/17/2021,"Mr.Lembit UIBO, Director General in the Political Dept. of the ministry of Foreign Affairs, Republic of Estonia, met PS Foreign Affairs Amb Macharia Kamau. They discussed bilateral cooperation and collaboration in Information Communication Technologies (ICT) among other issues.",Receive,
6/14/2021,"Foreign Affairs C.S Amb Raychelle Omamo this evening hosted dinner for @DrSJaishankar, the visiting Indian Minister for Foreign Affairs at the end of his three day official visit to Kenya. Present at the dinner was CAS Hon @AbabuNamwamba and Kenya HC to India Willy Bett.",Receive,
6/14/2021,"Cabinet Secretaries @ForeignOfficeKE, @Trade_Kenya @CSDefence_Kenya @MoICTKenya, PS @Karanjakibicho and CAS @AbabuNamwamba, this morning attended a round table meeting with Dr. S. JAISHANKAR visiting Minister for External Affairs of the Republic of India.",Receive,
6/12/2021,Foreign Affairs C.S Amb Raychelle Omamo today held bilateral talks with the visiting India Minister of Foreign Affairs Dr. S. JAISHANKAR. They discussed bilateral relations and also cooperation in multilateral fora particularly #UNSC where both countries are members.,Receive,
6/12/2021,"India’s Foreign Minister Dr. S.    JAISHANKAR has arrived in Kenya this morning, and was received by CAS Hon @AbabuNamwamba. He will hold a series of meetings meant to strengthen relations with Kenya, starting with a meeting with CS @ForeignOfficeKE Amb Raychelle Omamo today.",Receive,
6/11/2021,"4/5  During her visit the CS also held meetings with Maj. Gen. (Rtd) Charles Tai Gituai, Interim Chairperson of Reconstituted Joint Monitoring &amp; Evaluation Commission and Mr. Nicholas Haysom, Special Representative of the Secretary General &amp; Head of UN Mission in South Sudan",Away,
6/11/2021,"1/5 CS Amb Raychelle Omamo undertook a two day visit to South Sudan, June 9-10. She held bilateral talks with Hon. Amb. Beatrice Khamisa Wani, South Sudan Foreign Minister. The CS also paid a courtesy call on H.E. Salva Kiir Mayardit, President of the Republic of South Sudan.",Away,
6/11/2021,"CS Amb. Raychelle Omamo held a bilateral mtg w/ Amb. Redwan Hussien, State Minister for Political Affairs, Min of Foreign Affairs of the Federal Democratic Republic of Ethiopia on June 7. CS affirmed Kenya's commitment to strengthen the cordial relationship btw the two countries",Away,
6/11/2021,"CS @ForeignOfficeKE Amb.Raychelle Omamo held a fruitful meeting with the Chairperson of the African Union Commission @AUC_MoussaFaki in AU Headquarters, Ethiopia on June 7. The meeting deliberated on strategic issues of shared interest in the Region &amp; within the African Continent",Away,
6/5/2021,1/3  CS@ForeignOfficeKE Amb. Raychelle Omamo held extensive consultations with her counterpart the Foreign Minister of the Republic of The Sudan in Khartoum. Discussions centred on renewing and energizing the fraternal relations and promoting trade and investment.,Away,
5/26/2021,"CS Amb Raychelle Omamo held bilateral talks with the visiting Foreign Minister of the Kingdom of Saudi Arabia, Faisal bin Farhan Al Saud. They discussed skilled labour agreement and fast-tracking on two pending MOUs: Political Agreement and Avoidance on double taxation.",Receive,
5/25/2021,"Chief Administrative Secretary @ForeignOfficeKE  Hon. @AbabuNamwamba this evening at #JKIA received visiting Foreign Minister of the Kingdom of Saudi Arabia, Faisal bin Farhan Al Saud. The Minister is in Kenyan for talks aimed at strengthening bilateral ties.",Receive,
5/25/2021,Foreign Affairs CS Amb.Raychelle Omamo and Swedish Minister for International Development Co-operation H.E Olsson Fridh held fruitful discussions that reaffirmed the excellent and long-standing ties existing between Sweden and Kenya at bilateral and multilateral levels.,Away,
5/21/2021,Cabinet Secretary for Foreign Affairs Amb Raychelle Omamo held bilateral talks with Ambassador of Islamic Republic of Iran H. E. Jabber Barmaki on issues of mutual interest between the two Countries.,Away,
5/4/2021,"The plane carrying H.E Samia Suluhu Hassan, President of the Republic of Tanzania landed at the #JKIA shortly before 10.00am. While in Kenya she will hold bilateral talks with President Uhuru Kenyatta, attend a Kenya/TZ business Forum  and address a joint session of Parliament.",Receive,
5/4/2021,"Her Excellency Samia Suluhu Hassan, President of the United Republic of Tanzania has this Morning arrived in Kenya for a two-day State Visit. She was received by @ForeignOfficeKE   CS Raychelle Omamo and Sports CS Amina Mohammed.",Receive,
4/19/2021,"Foreign Affairs CAS @ Hon.@AbabuNamwamba early this  morning  received Egyptian Minister for Foreign Affairs Sameh Shoukry at JKIA. He is expected to deliver a special message to President Uhuru Kenyatta from H.E Abdel FattahAl-Sisi, President of Arab Republic of Egypt.",Receive,
3/11/2021,Foreign Affairs Principal Secretary Amb Macharia Kamau held bilateral talks with Director of Development Cooperation and Humanitarian Aid at the Foreign Ministry of Estonia Mrs Kadi Metsandi. They discussed bilateral cooperation between Kenya and Estonia.,Receive,
3/8/2021,"H.E Sahle-work Zewde, President of the Federal Democratic Republic of Ethiopia has arrived in Kenya for a one-day official visit where she will hold talks with H.E President Uhuru Kenyatta. H.E was received at the #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo.",Receive,
2/4/2021,CS @ForeignOfficeKe Amb. Raychelle Omamo attended a meeting at Sagana State Lodge where Mohammed Hassan Eltaashi Sudan's Special Envoy delivered a special message from the country's Sovereign Council to H E. President Uhuru Kenyatta.,Receive,
1/28/2021,The Islamic Republic of Iran Vice President for Science and Technology H.E Dr. Sorena Sattari who is in Kenya on a three day visit today paid a courtesy call on Kenya's Foreign Affairs Cabinet Secretary Amb Raychelle Omamo.,Receive,
1/26/2021,Foreign Affairs CAS @AbabuNamwamba earlier today at JKIA received Islamic Republic of Iran Vice President for Science and Technology H.E Dr. Sorena Sattari who is in Kenya on a three day visit. Dr Sorena is also leading a business delegation to Kenya.,Receive,
1/20/2021,"Foreign Affairs CAS Hon. Ababu Namwamba has this morning received United Kingdom Secretary of State, Commonwealth and Development Affairs &amp; First Secretary of State Rt.Hon Dominic Raab at Jomo Kenyatta International Airport.  Rt. Hon Raab is  on a one day official visit to Kenya.",Receive,
1/15/2021,"CS Amb Raychelle Omamo today held bilateral talks with H.E. Sabri Boukadoum, Minister of Foreign Affairs of Algeria who is on a two day visit to Kenya. They discussed how to strengthen ties, committed to a Joint Commission for Cooperation (JCC) and finalize on MOUs signed.",Receive,
1/13/2021,Cabinet Secretary Amb Raychelle Omamo this morning held bilateral talks with the Foreign Minister of the Government of Japan Hon Motegi Toshimitsu who is on an official visit to Kenya. They discussed efforts to strengthen the longstanding bilateral relations.,Receive,
1/7/2021,The Special Envoy on South Sudan Hon. Kalonzo Musyoka  paid a courtesy call on Foreign Affairs C.S Amb. Raychelle Omamo. They discussed the status of implementation of the peace agreement in South Sudan.,Receive,
12/9/2020,CS Raychelle Omamo received H.E President Uhuru Kenyatta and visiting Ethiopia Prime Minister Dr. Abiy Ahmed on arrival at the Odda Airstrip in Moyale where the two leaders commissioned the Moyale One Stop Border Point and the Hawassa-Moyale- Ethiopia road.,Receive,
11/16/2020,"Foreign Affairs CAS Hon Ababu Namwamba this evening  at Jomo Kenyatta International Airport received Hon Demeke Mekonnen Hassen, Ethiopian Deputy Prime Minister and Minister of Foreign Affairs. The Deputy Prime Minister is expected to hold talks with President Uhuru Kenyatta.",Receive,
10/13/2020,"Cabinet Secretary Amb. Raychelle Omamo today held a meeting with Her Royal Highness Princess Sarah Zeid of the Kingdom of Jordan, who is on a tour of Kenya as a guest of the World Food Programme in her capacity as the Special Advisor on Mother and Child Health and Nutrition.",Receive,
9/8/2020,"PS @AmbMKamau held talks with Ms.Teresa Ribeiro, Secretary of State for Foreign Affairs and Cooperation of Portugal. They  discussed how to increase cooperation during Portugal's upcoming Chairmanship of the EU Council and post~cotonou negotiations under the OACPS~EU framework.",Receive,
3/11/2020,"CAS @AbabuNamwamba met the leadership of South Sudan Civil Society Forum led by Chairman James Kolok when they paid him a courtesy call. They briefed CAS on the situation in South Sudan, including progress in formation of the Revitalised Transitional Government of National Unity.",Receive,
3/11/2020,CS Amb. Raychelle Omamo today held bilateral talks with the Somalia Minister for Foreign Affairs Hon. Ahmed Isse Awad. The two Ministers met at the MFA HQs.,Receive,
3/6/2020,"The High Commissioner of Pakistan, H.E. Saqlain Syedah, paid a courtesy call to the Political and Diplomatic Secretary and the @EnvoyUnsc Amb. Tom Amolo. The two agreed to work towards elevating relations between the two countries.",Receive,
3/6/2020,"CS for Foreign Affairs Amb. Raychelle. A. Omamo, SC, EGH, received Mr. Per Olsson Fridh, State Secretary to the Minister for International Development Cooperation of Sweden who paid her a courtesy call. They explored ways of deepening collaboration between Kenya and Sweden.",Receive,
3/4/2020,CS Amb. Raychelle Omamo received her Nicaraguan counterpart H.E. Mr. Denis Moncada Colindres in her office today. The two Foreign Ministers discussed matters of mutual interest between the two countries.,Receive,
2/29/2020,"CAS @AbabuNamwamba consults with his Sudanese counterpart H.E Omer Gamareldien, State Minister for Foreign Affairs of the Republic of Sudan, and Ethiopia's Workneh Gebeyehu Negewo, the Executive Secretary of IGAD, at the EU-IGAD Ministerial consultative meeting in Khartoum today.",Away,
2/29/2020,"CAS @AbabuNamwamba in consultation with his Ethiopian counterpart, H.E Hirut Zemene, State Minister for Foreign Affairs of the Federal Republic of Ethiopia at the EU-IGAD Ministerial consultative meeting in Khartoum today. The CAS is leading the Kenyan delegation at the key talks",Away,
